20180807-134041,20180807-134111,NG,,29.98,,A117NoFin,LeftStation,0.000,0.000,5.733,0.187,RawUp,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,RawDown,-0.023,-0.023,-0.023,-0.023,-0.023,-0.002,-0.002,-0.002,-0.002,
20180807-134253,20180807-134323,NG,,30.07,,A117NoFin,LeftStation,0.105,0.102,10.570,0.121,RawUp,1.785,2.075,2.206,1.929,1.943,1.940,1.991,1.977,RawDown,2.949,2.926,3.032,2.852,2.981,3.158,3.355,3.359,3.016,
20180807-134334,20180807-134404,NG,,30.06,,A117NoFin,LeftStation,0.057,0.108,10.538,0.022,RawUp,1.809,2.185,2.266,1.894,1.954,2.079,2.088,2.005,RawDown,2.991,3.124,3.093,2.935,2.933,3.136,3.434,3.321,3.033,
20180807-134414,20180807-134444,OK,,30.06,,A117NoFin,LeftStation,0.072,0.010,10.537,0.070,RawUp,1.808,2.105,2.246,1.932,1.875,2.036,2.043,1.998,RawDown,2.936,3.075,3.056,2.898,2.994,3.120,3.458,3.311,2.975,
20180807-134454,20180807-134524,OK,,30.08,,A117NoFin,LeftStation,0.114,0.021,10.627,0.037,RawUp,1.806,2.129,2.285,1.892,1.930,2.019,2.036,1.990,RawDown,2.958,3.112,3.082,2.932,3.041,3.135,3.461,3.344,3.029,
20180807-134535,20180807-134605,OK,,30.07,,A117NoFin,LeftStation,0.135,0.001,10.649,0.046,RawUp,1.748,2.119,2.248,1.908,1.869,1.975,1.977,1.932,RawDown,3.004,3.167,3.123,2.958,3.062,3.190,3.498,3.387,3.019,
20180807-134616,20180807-134646,OK,,30.05,,A117NoFin,LeftStation,0.056,0.004,10.463,0.049,RawUp,1.867,2.182,2.237,1.923,1.937,2.118,2.106,1.999,RawDown,2.912,3.047,3.026,2.888,2.965,3.088,3.394,3.294,2.996,
20180807-134655,20180807-134725,OK,,30.06,,A117NoFin,LeftStation,0.165,0.027,10.753,0.054,RawUp,1.869,2.060,2.324,1.929,1.944,1.986,2.032,2.017,RawDown,2.950,3.128,3.094,2.925,2.999,3.085,3.457,3.326,2.991,
20180807-134736,20180807-134806,NG,,30.06,,A117NoFin,LeftStation,0.053,0.027,10.900,0.170,RawUp,1.754,2.101,2.238,1.921,1.931,2.047,2.087,1.937,RawDown,2.896,3.135,3.082,2.835,3.012,3.171,3.515,3.353,3.019,
20180807-134817,20180807-134847,OK,,30.08,,A117NoFin,LeftStation,0.170,0.009,10.562,0.066,RawUp,1.829,2.089,2.266,1.957,1.986,1.963,1.984,2.038,RawDown,2.912,3.070,3.035,2.885,2.983,3.119,3.445,3.304,2.940,
20180807-134858,20180807-134928,OK,,30.09,,A117NoFin,LeftStation,0.055,0.008,10.474,0.056,RawUp,1.861,2.097,2.216,1.901,1.927,2.042,2.056,1.983,RawDown,2.946,3.069,3.055,2.918,3.002,3.123,3.423,3.317,3.005,
20180807-134941,20180807-135011,OK,,30.07,,A117NoFin,LeftStation,0.230,0.012,10.738,0.032,RawUp,1.895,1.980,2.330,1.891,1.949,1.928,1.985,1.992,RawDown,2.950,3.130,3.085,2.922,3.014,3.095,3.467,3.355,3.038,
20180807-135023,20180807-135053,OK,,30.06,,A117NoFin,LeftStation,0.097,0.010,10.535,0.032,RawUp,1.588,1.998,2.303,1.839,1.819,1.971,2.019,1.954,RawDown,3.116,3.249,3.158,3.041,3.147,3.329,3.593,3.362,3.120,
20180807-135105,20180807-135135,OK,,30.07,,A117NoFin,LeftStation,0.155,0.013,10.636,0.079,RawUp,1.812,2.116,2.255,1.899,1.810,1.958,1.969,1.909,RawDown,3.032,3.198,3.133,2.980,3.095,3.125,3.452,3.324,3.024,
20180807-135146,20180807-135216,OK,,30.07,,A117NoFin,LeftStation,0.166,0.007,10.606,0.030,RawUp,1.777,1.964,2.219,1.856,1.890,1.893,1.934,1.926,RawDown,3.039,3.193,3.149,2.993,3.087,3.194,3.523,3.386,3.100,
20180807-135225,20180807-135255,OK,,30.06,,A117NoFin,LeftStation,0.188,0.015,10.733,0.082,RawUp,1.860,2.059,2.238,1.899,1.958,1.911,1.952,1.966,RawDown,2.946,3.117,3.113,2.926,3.037,3.086,3.420,3.332,3.003,
20180807-135305,20180807-135335,NG,,30.05,,A117NoFin,LeftStation,0.225,0.013,10.958,0.108,RawUp,1.762,2.089,2.254,1.920,1.768,1.839,1.890,1.814,RawDown,3.095,3.294,3.263,3.061,3.190,3.210,3.594,3.459,3.051,
20180807-135345,20180807-135415,OK,,30.06,,A117NoFin,LeftStation,0.193,0.004,10.675,0.076,RawUp,1.841,2.069,2.375,1.886,1.980,1.949,2.130,2.008,RawDown,2.988,3.126,3.095,2.948,3.040,3.124,3.432,3.286,3.025,
20180807-135426,20180807-135456,OK,,30.07,,A117NoFin,LeftStation,0.151,0.022,10.512,0.042,RawUp,1.724,2.060,2.221,1.888,1.880,1.869,1.959,1.955,RawDown,3.030,3.184,3.113,2.985,3.094,3.206,3.527,3.356,3.034,
20180807-135508,20180807-135538,OK,,30.06,,A117NoFin,LeftStation,0.128,0.010,10.593,0.022,RawUp,1.742,2.012,2.259,1.899,1.883,1.921,1.988,1.955,RawDown,3.044,3.201,3.131,2.986,3.083,3.212,3.548,3.381,3.068,
20180807-135549,20180807-135620,OK,,30.07,,A117NoFin,LeftStation,0.111,0.009,10.733,0.077,RawUp,1.776,1.950,2.202,1.871,1.899,2.025,2.047,1.913,RawDown,3.030,3.212,3.181,3.018,3.107,3.213,3.528,3.402,3.085,
20180807-144929,20180807-144959,NG,,30.19,f6r8224016lk93w97,A117WithFin,LeftStation,0.240,0.039,70.826,0.117,RawUp,2.924,3.325,3.460,2.873,3.209,3.373,3.249,3.030,RawDown,2.684,2.741,2.830,2.825,2.796,2.864,3.010,3.187,2.962,
20180807-145010,20180807-145040,NG,,29.14,F6R822400XUK93W9T,A117WithFin,LeftStation,0.163,0.027,70.897,0.074,RawUp,2.937,3.335,3.318,2.911,3.103,3.266,3.321,3.185,RawDown,2.839,2.876,2.696,2.680,2.795,3.107,3.177,2.906,2.846,
20180807-145056,20180807-145125,NG,,29.14,F6R8224017NK93W92,A117WithFin,LeftStation,0.308,0.019,70.779,0.096,RawUp,2.954,3.501,3.442,2.928,3.381,3.542,3.316,3.095,RawDown,2.505,2.633,2.820,2.730,2.679,2.604,2.874,3.216,2.935,
20180807-145136,20180807-145205,OK,,29.14,,A117WithFin,LeftStation,0.080,0.011,70.666,0.071,RawUp,2.770,3.395,3.567,2.983,3.051,3.260,3.373,3.174,RawDown,2.820,2.855,2.703,2.686,2.773,3.081,3.133,2.921,2.823,
20180807-145220,20180807-145249,OK,,29.13,F6R822400UVK93W91,A117WithFin,LeftStation,0.060,0.039,70.713,0.095,RawUp,2.662,3.192,3.332,2.798,2.804,3.037,3.157,2.957,RawDown,2.954,3.052,2.823,2.792,2.927,3.279,3.489,3.024,2.927,
20180807-145259,20180807-145328,NG,,29.14,,A117WithFin,LeftStation,0.059,0.022,70.802,0.128,RawUp,2.948,3.416,3.526,3.013,3.076,3.244,3.313,3.149,RawDown,2.903,2.934,2.863,2.822,2.900,3.082,3.338,3.126,2.887,
20180807-145342,20180807-145411,NG,,29.14,F6R822400ZSK93W9P,A117WithFin,LeftStation,0.193,0.015,70.843,0.130,RawUp,3.159,3.334,3.377,2.866,3.244,3.299,3.218,3.067,RawDown,2.808,2.850,2.966,2.900,2.872,2.964,3.163,3.259,3.063,
20180807-145421,20180807-145450,OK,,29.13,F6R822400X3K93W9J,A117WithFin,LeftStation,0.098,0.031,70.695,0.051,RawUp,3.002,3.391,3.482,3.060,3.152,3.253,3.255,3.142,RawDown,2.880,2.964,2.966,2.844,2.936,3.072,3.304,3.229,2.947,
20180807-145507,20180807-145536,OK,,29.14,,A117WithFin,LeftStation,0.056,0.015,70.621,0.074,RawUp,2.801,3.345,3.395,2.846,3.019,3.204,3.229,3.043,RawDown,2.903,2.976,2.884,2.840,2.909,3.079,3.322,3.163,2.935,
20180807-145546,20180807-145615,NG,,29.13,F6R822401BYK93W9E,A117WithFin,LeftStation,0.155,0.014,70.836,0.090,RawUp,2.991,3.363,3.416,2.904,3.123,3.259,3.356,3.178,RawDown,2.773,2.846,2.642,2.564,2.719,2.966,3.230,2.858,2.701,
20180807-145631,20180807-145700,NG,,29.14,F6R822400ECK93W9S,A117WithFin,LeftStation,0.050,0.007,70.513,0.183,RawUp,2.730,3.130,3.234,2.791,2.899,3.029,3.055,2.903,RawDown,2.805,2.952,2.981,2.839,2.888,3.096,3.371,3.263,3.007,
20180807-145711,20180807-145740,NG,,29.14,F6R8224019NK93W9W,A117WithFin,LeftStation,0.093,0.011,70.875,0.137,RawUp,2.749,3.299,3.397,2.858,2.935,3.146,3.274,3.077,RawDown,2.935,2.933,2.746,2.739,2.847,3.112,3.272,2.933,2.796,
20180807-145755,20180807-145824,NG,,29.14,f6r825600erk93w92,A117WithFin,LeftStation,0.112,0.022,70.816,0.197,RawUp,2.719,3.242,3.374,2.841,2.954,3.115,3.128,2.891,RawDown,2.853,2.919,2.984,2.945,2.941,2.986,3.305,3.228,3.106,
20180807-145838,20180807-145907,NG,,29.13,F6R822400Z7K93W98,A117WithFin,LeftStation,0.299,0.037,70.621,0.286,RawUp,2.934,3.256,3.519,2.826,3.210,3.299,3.314,3.062,RawDown,2.692,2.774,2.820,2.789,2.793,2.828,2.679,3.028,2.958,
20180807-145922,20180807-145951,OK,,29.14,F6R8224013VK93W97,A117WithFin,LeftStation,0.197,0.007,70.678,0.039,RawUp,2.919,3.121,3.385,2.824,2.884,3.033,3.150,2.944,RawDown,2.961,3.057,2.999,2.894,2.973,3.129,3.388,3.196,2.972,
20180807-150001,20180807-150030,OK,,29.14,F6R822401A0K93W9F,A117WithFin,LeftStation,0.188,0.025,70.447,0.058,RawUp,2.791,3.286,3.578,2.821,3.066,3.245,3.336,3.069,RawDown,2.769,2.822,2.761,2.686,2.779,3.012,3.125,2.919,2.883,
20180807-150046,20180807-150115,OK,,29.13,F6R822400MNK93W9V,A117WithFin,LeftStation,0.143,0.023,70.422,0.068,RawUp,2.796,3.192,3.375,2.775,2.998,3.135,3.110,2.925,RawDown,2.766,2.849,2.818,2.781,2.815,3.026,3.148,3.114,2.968,
20180807-150124,20180807-150153,OK,,29.13,,A117WithFin,LeftStation,0.111,0.003,70.628,0.069,RawUp,2.780,3.240,3.467,2.811,2.942,3.103,3.200,2.987,RawDown,2.884,2.951,2.827,2.766,2.857,3.179,3.235,3.022,2.936,
20180807-150206,20180807-150235,NG,,29.12,f6r822400z4k93w9b,A117WithFin,LeftStation,0.122,0.013,70.738,0.106,RawUp,2.723,3.223,3.363,2.852,2.880,3.069,3.254,3.078,RawDown,2.838,2.882,2.656,2.637,2.755,3.164,3.236,2.872,2.790,
20180807-150244,20180807-150313,OK,,29.15,F6R822400UCK93W9J,A117WithFin,LeftStation,0.110,0.001,70.655,0.072,RawUp,2.826,3.199,3.382,2.858,2.939,3.083,3.118,2.946,RawDown,2.897,2.941,2.933,2.889,2.914,3.157,3.246,3.231,3.029,
20180807-162809,20180807-162839,NG,,29.15,f6r8224016lk93w97,A117WithFin,LeftStation,0.238,0.041,70.831,0.115,RawUp,2.854,3.337,3.564,2.902,3.182,3.382,3.312,3.059,RawDown,2.698,2.754,2.816,2.823,2.798,2.898,3.022,3.148,2.947,
20180807-162849,20180807-162918,NG,,29.13,F6R822400XUK93W9T,A117WithFin,LeftStation,0.160,0.024,70.902,0.074,RawUp,2.935,3.339,3.324,2.908,3.101,3.264,3.321,3.182,RawDown,2.846,2.884,2.707,2.688,2.801,3.114,3.182,2.910,2.850,
20180807-162934,20180807-163003,NG,,29.13,F6R8224017NK93W92,A117WithFin,LeftStation,0.309,0.015,70.789,0.094,RawUp,2.954,3.505,3.445,2.927,3.383,3.542,3.315,3.095,RawDown,2.523,2.639,2.819,2.734,2.682,2.606,2.877,3.219,2.937,
