StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,AB-fin up surface profile,J-pedestal flatness,O-inner standoff profile,SPEC,SPEC-AB,UpLimit-AB,DownLimit-AB,SPEC-J,UpLimit-J,DownLimit-J,SPEC-O,UpLimit-O,DownLimit-O,RawUp,up,up,up,up,RawDown,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,RawUpSTATUS,up,up,up,up,RawDownSTATUS,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,RawUpGT,up,up,up,up,RawDownGT,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,
20180911-090642,20180911-090708,NG,|上表面轮廓度 -64.160 超差|,25.90,,A117WithFin,LeftStation,SPC,-64.160,0.000,-0.016,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-67.317,-67.205,-67.174,-67.063,RawDown,-2.789,-2.903,-2.786,-2.668,-2.790,-2.805,-2.919,-2.802,-2.684,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,-0.032,-0.032,-0.032,-0.032,RawDownGT,-0.023,-0.023,-0.023,-0.023,-0.023,0.000,0.000,0.000,0.000,
20180911-142830,20180911-142855,NG,|上表面轮廓度 -64.123 超差|,25.89,,A117WithFin,LeftStation,SPC,-64.123,0.001,-0.099,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-67.128,-67.020,-67.086,-66.977,RawDown,-2.668,-2.818,-2.695,-2.541,-2.685,-2.767,-2.917,-2.794,-2.640,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,-0.034,-0.034,-0.034,-0.034,RawDownGT,-0.014,-0.014,-0.014,-0.015,-0.014,-0.001,-0.001,-0.001,-0.001,
20180911-142858,20180911-142924,NG,|上表面轮廓度 -64.124 超差|,25.95,,A117WithFin,LeftStation,SPC,-64.124,0.001,-0.101,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-67.128,-67.020,-67.086,-66.977,RawDown,-2.666,-2.816,-2.694,-2.539,-2.683,-2.767,-2.917,-2.794,-2.640,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,-0.034,-0.034,-0.034,-0.034,RawDownGT,-0.012,-0.012,-0.013,-0.013,-0.013,-0.001,-0.001,-0.001,-0.001,
20180911-142953,20180911-143019,OK,,25.85,,A117WithFin,LeftStation,SPC,-70.521,0.010,-0.138,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.496,-70.496,-70.499,-70.500,RawDown,0.017,0.018,0.021,0.017,0.010,-0.123,-0.119,-0.115,-0.118,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.335,3.443,3.380,3.490,RawDownGT,2.672,2.822,2.703,2.544,2.681,2.644,2.797,2.679,2.522,
20180911-143204,20180911-143230,OK,,25.86,,A117WithFin,LeftStation,SPC,-70.513,0.006,-0.146,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.711,-70.469,-70.697,-70.455,RawDown,-0.204,-0.194,0.019,0.006,-0.101,-0.351,-0.340,-0.125,-0.136,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.550,3.416,3.578,3.445,RawDownGT,2.451,2.610,2.700,2.533,2.570,2.416,2.576,2.669,2.504,
20180911-143301,20180911-143327,NG,|内螺柱轮廓度 -0.155 超差|,25.88,,A117WithFin,LeftStation,SPC,-70.520,0.004,-0.155,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.702,-70.457,-70.693,-70.447,RawDown,-0.190,-0.184,0.036,0.025,-0.083,-0.344,-0.337,-0.121,-0.129,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.540,3.404,3.574,3.437,RawDownGT,2.465,2.620,2.718,2.552,2.588,2.423,2.580,2.673,2.510,
20180911-193636,20180911-193702,NG,|内螺柱轮廓度 4.739 超差|,25.84,,A117WithFin,LeftStation,SPC,-70.523,0.009,4.739,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.501,-70.497,-70.499,-70.498,RawDown,0.008,0.012,0.020,0.012,0.005,4.682,4.751,4.730,4.659,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.309,3.317,3.316,3.327,RawDownGT,2.702,2.867,2.833,2.657,2.760,2.670,2.836,2.804,2.631,
20180911-194005,20180911-194031,NG,|内螺柱轮廓度 4.745 超差|,25.85,,A117WithFin,LeftStation,SPC,-70.509,0.004,4.745,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.502,-70.498,-70.504,-70.502,RawDown,0.008,0.005,0.009,0.006,0.004,4.682,4.750,4.727,4.657,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.308,3.317,3.320,3.332,RawDownGT,2.704,2.864,2.831,2.659,2.766,2.669,2.836,2.801,2.630,
20180911-194133,20180911-194159,NG,|内螺柱轮廓度 -0.155 超差|,26.03,,A117WithFin,LeftStation,SPC,-70.512,0.006,-0.155,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.500,-70.496,-70.498,-70.498,RawDown,0.008,0.008,0.013,0.008,0.004,-0.148,-0.147,-0.142,-0.145,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.306,3.316,3.315,3.328,RawDownGT,2.704,2.867,2.835,2.661,2.766,2.673,2.838,2.805,2.633,
20180911-195510,20180911-195536,NG,|内螺柱轮廓度 -0.168 超差|,25.99,,A117WithFin,LeftStation,SPC,-70.505,0.003,-0.168,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.499,-70.497,-70.495,-70.497,RawDown,0.003,0.007,0.006,0.004,0.003,-0.153,-0.159,-0.162,-0.161,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.296,3.305,3.310,3.323,RawDownGT,2.706,2.871,2.839,2.670,2.773,2.976,3.131,3.097,2.931,
20180911-200026,20180911-200052,NG,|内螺柱轮廓度 -0.154 超差|,25.83,,A117WithFin,LeftStation,SPC,-70.510,0.006,-0.154,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.502,-70.498,-70.501,-70.501,RawDown,0.003,0.005,0.007,0.002,-0.001,-0.151,-0.149,-0.145,-0.147,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.295,3.304,3.311,3.324,RawDownGT,2.714,2.879,2.844,2.672,2.775,2.319,2.482,2.450,2.281,
20180911-200920,20180911-200946,NG,|内螺柱轮廓度 -0.150 超差|,26.41,,A117WithFin,LeftStation,SPC,-70.504,0.009,-0.150,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.496,-70.493,-70.492,-70.494,RawDown,0.011,0.010,0.010,0.008,0.002,-0.142,-0.141,-0.136,-0.138,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.280,3.290,3.298,3.312,RawDownGT,2.735,2.895,2.859,2.690,2.790,2.331,2.493,2.461,2.293,
20180911-201202,20180911-201228,NG,|内螺柱轮廓度 -0.157 超差|,25.84,,A117WithFin,LeftStation,SPC,-70.507,0.001,-0.157,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.500,-70.496,-70.499,-70.498,RawDown,0.003,0.005,0.006,0.002,0.003,-0.148,-0.151,-0.147,-0.149,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.281,3.291,3.301,3.313,RawDownGT,2.729,2.891,2.856,2.686,2.793,2.327,2.484,2.452,2.284,
20180911-204537,20180911-204603,OK,,25.84,,A117WithFin,LeftStation,SPC,-70.497,0.006,-0.126,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.497,-70.499,-70.495,-70.498,RawDown,0.004,0.003,0.004,0.003,-0.002,-0.119,-0.123,-0.120,-0.119,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.054,3.059,3.153,3.159,RawDownGT,2.949,3.074,3.046,2.914,2.994,2.542,2.663,2.637,2.507,
20180911-204718,20180911-204744,OK,,25.85,,A117WithFin,LeftStation,SPC,-70.505,0.003,-0.005,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.496,-70.497,-70.494,-70.499,RawDown,0.004,0.002,0.006,0.004,0.004,0.002,-0.002,0.002,0.003,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.052,3.057,3.152,3.161,RawDownGT,2.950,3.074,3.048,2.914,2.999,2.544,2.666,2.640,2.510,
20180911-210940,20180911-211033,NG,|上表面轮廓度 -64.303 超差|下表面轮廓度 -6.001 超差|内螺柱轮廓度 0.408 超差|外螺柱轮廓度 5.739 超差|,52.70,,A117WithFin,LeftStation,SPC,-64.303,0.000,-6.001,0.408,5.739,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-68.496,-68.110,-68.098,-68.484,-68.389,-68.240,-68.231,-68.381,RawDown,-2.957,-3.103,-3.067,-2.922,-3.013,-8.958,-9.103,-9.067,-8.922,-9.013,-2.493,-2.792,-2.709,-2.410,2.854,2.035,2.159,2.978,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,RawDownGT,-0.014,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,
20180911-211052,20180911-211144,NG,|上表面轮廓度 -64.303 超差|下表面轮廓度 -6.001 超差|内螺柱轮廓度 0.406 超差|外螺柱轮廓度 5.737 超差|,52.69,,A117WithFin,LeftStation,SPC,-64.303,0.000,-6.001,0.406,5.737,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-68.496,-68.110,-68.098,-68.484,-68.389,-68.240,-68.231,-68.381,RawDown,-2.956,-3.102,-3.066,-2.921,-3.012,-8.957,-9.103,-9.067,-8.922,-9.012,-2.493,-2.792,-2.709,-2.410,2.854,2.035,2.159,2.978,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,RawDownGT,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.015,-0.015,-0.015,-0.015,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,
20180911-211551,20180911-211648,NG,|上表面轮廓度 -64.300 超差|下表面轮廓度 -6.001 超差|内螺柱轮廓度 0.407 超差|外螺柱轮廓度 5.740 超差|,57.52,,A117WithFin,LeftStation,SPC,-64.300,0.000,-6.001,0.407,5.740,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-68.496,-68.110,-68.098,-68.484,-68.389,-68.240,-68.231,-68.381,RawDown,-2.946,-2.907,-3.067,-3.106,-3.007,-8.961,-8.848,-9.503,-9.615,-9.231,-2.488,-2.414,-2.714,-2.787,2.854,2.035,2.159,2.978,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,RawDownGT,-0.014,-0.014,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,
20180911-212231,20180911-212328,NG,|上表面轮廓度 -64.300 超差|下表面轮廓度 -6.001 超差|内螺柱轮廓度 0.407 超差|外螺柱轮廓度 5.740 超差|,56.77,,A117WithFin,LeftStation,SPC,-64.300,0.000,-6.001,0.407,5.740,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-68.496,-68.110,-68.098,-68.484,-68.389,-68.240,-68.231,-68.381,RawDown,-2.946,-2.907,-3.067,-3.106,-3.007,-9.064,-8.951,-9.399,-9.512,-9.230,-2.488,-2.414,-2.714,-2.787,2.854,2.035,2.159,2.978,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,RawDownGT,-0.014,-0.014,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,
20180911-212728,20180911-212826,NG,|上表面轮廓度 -64.301 超差|下表面轮廓度 -6.000 超差|内螺柱轮廓度 0.407 超差|外螺柱轮廓度 5.738 超差|,57.84,,A117WithFin,LeftStation,SPC,-64.301,0.001,-6.000,0.407,5.738,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-68.496,-68.110,-68.098,-68.484,-68.389,-68.240,-68.231,-68.381,RawDown,-2.946,-2.907,-3.066,-3.106,-3.007,-9.064,-8.951,-9.399,-9.511,-9.230,-2.487,-2.413,-2.713,-2.787,2.854,2.035,2.159,2.979,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,RawDownGT,-0.013,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,
20180911-212846,20180911-212945,NG,|上表面轮廓度 -68.017 超差|凸台平面度 0.067 超差|下表面轮廓度 -6.497 超差|内螺柱轮廓度 0.232 超差|外螺柱轮廓度 4.370 超差|,59.36,,A117WithFin,LeftStation,SPC,-68.017,0.067,-6.497,0.232,4.370,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-68.496,-68.110,-68.098,-68.484,-68.389,-68.240,-68.231,-68.381,RawDown,-0.177,-0.007,0.075,0.026,0.016,-5.838,-5.818,-5.955,-5.904,-5.749,-0.018,-0.003,0.103,0.074,5.269,5.166,5.093,5.276,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,RawDownGT,2.756,2.886,3.128,3.118,3.009,3.212,3.119,3.430,3.594,3.467,2.458,2.399,2.805,2.850,2.404,3.119,2.923,2.286,
20180911-213103,20180911-213202,NG,|上表面轮廓度 -68.019 超差|凸台平面度 0.061 超差|下表面轮廓度 -6.474 超差|内螺柱轮廓度 0.224 超差|外螺柱轮廓度 4.396 超差|,59.33,,A117WithFin,LeftStation,SPC,-68.019,0.061,-6.474,0.224,4.396,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-68.496,-68.110,-68.098,-68.484,-68.389,-68.240,-68.231,-68.381,RawDown,-0.172,-0.009,0.079,0.023,0.014,-5.843,-5.814,-5.934,-5.903,-5.743,-0.025,-0.004,0.109,0.073,5.263,5.164,5.117,5.274,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,RawDownGT,2.761,2.884,3.132,3.115,3.007,3.207,3.123,3.451,3.594,3.473,2.451,2.398,2.811,2.848,2.398,3.118,2.946,2.284,
20180911-221037,20180911-221133,NG,|上表面轮廓度 -71.172 超差|凸台平面度 0.040 超差|下表面轮廓度 -6.025 超差|内螺柱轮廓度 0.226 超差|外螺柱轮廓度 5.605 超差|,56.72,,A117WithFin,LeftStation,SPC,-71.172,0.040,-6.025,0.226,5.605,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.613,-71.572,-71.479,-71.543,-71.613,-71.611,-71.572,-71.581,RawDown,-0.318,-0.272,-0.256,-0.222,-0.249,-6.140,-6.103,-6.100,-6.139,-6.136,-0.095,-0.107,-0.154,-0.171,5.267,5.267,5.288,5.242,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,3.081,3.426,3.345,3.024,3.188,3.335,3.305,3.164,RawDownGT,2.615,2.622,2.797,2.870,2.744,2.910,2.834,3.285,3.358,3.080,2.381,2.295,2.548,2.604,2.402,3.220,3.118,2.252,
20180911-221226,20180911-221322,NG,|上表面轮廓度 -71.193 超差|下表面轮廓度 -6.001 超差|内螺柱轮廓度 0.193 超差|外螺柱轮廓度 5.558 超差|,56.61,,A117WithFin,LeftStation,SPC,-71.193,0.019,-6.001,0.193,5.558,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.608,-71.559,-71.478,-71.543,-71.607,-71.603,-71.571,-71.579,RawDown,-0.273,-0.270,-0.254,-0.219,-0.245,-6.133,-6.103,-6.102,-6.131,-6.130,-0.093,-0.107,-0.154,-0.165,5.272,5.277,5.286,5.239,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,3.076,3.413,3.344,3.023,3.182,3.328,3.304,3.162,RawDownGT,2.660,2.624,2.799,2.873,2.748,2.917,2.834,3.283,3.367,3.086,2.383,2.295,2.548,2.611,2.407,3.231,3.116,2.249,
20180911-221402,20180911-221501,NG,|上表面轮廓度 -71.189 超差|下表面轮廓度 -6.003 超差|内螺柱轮廓度 0.195 超差|外螺柱轮廓度 5.562 超差|,59.31,,A117WithFin,LeftStation,SPC,-71.189,0.019,-6.003,0.195,5.562,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.604,-71.557,-71.477,-71.543,-71.606,-71.601,-71.568,-71.580,RawDown,-0.275,-0.273,-0.255,-0.221,-0.245,-6.136,-6.108,-6.103,-6.132,-6.132,-0.094,-0.108,-0.154,-0.165,5.273,5.278,5.286,5.241,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,3.072,3.411,3.343,3.023,3.181,3.325,3.301,3.163,RawDownGT,2.658,2.620,2.798,2.871,2.748,2.914,2.829,3.282,3.365,3.084,2.382,2.294,2.548,2.611,2.408,3.231,3.115,2.251,
