StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,AB-fin up surface profile,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPEC,SPEC-AB,UpLimit-AB,DownLimit-AB,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,RawUp,up,up,up,up,up,up,up,up,RawDown,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,
20180912-200820,20180912-200901,NG,|上表面轮廓度 -71.052 超差|下表面轮廓度 -6.034 超差|内螺柱轮廓度 0.156 超差|外螺柱轮廓度 5.605 超差|,40.44,F6R8346004LK93WDT,A117WithFin,LeftStation,SPC,-71.052,0.004,-6.034,0.156,5.605,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.462,-71.300,-71.349,-71.552,-71.469,-71.453,-71.484,-71.552,RawDown,-0.132,-0.193,-0.196,-0.142,-0.165,-0.023,-0.065,-0.099,-0.092,-6.039,-6.047,-6.075,-6.125,-6.099,5.385,5.257,5.309,5.282,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.979,3.226,3.270,3.063,3.096,3.239,3.266,3.174,RawDownGT,1.384,1.284,1.419,1.512,1.399,1.574,1.450,1.710,1.800,1.590,1.455,1.867,1.944,1.685,1.645,2.323,2.235,1.402,
20180912-200926,20180912-201007,NG,|下表面轮廓度 -6.069 超差|内螺柱轮廓度 0.210 超差|外螺柱轮廓度 5.582 超差|,40.51,F6R8342000LK93WD9,A117WithFin,LeftStation,SPC,-71.314,0.017,-6.069,0.210,5.582,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.506,-71.226,-71.403,-71.558,-71.517,-71.431,-71.503,-71.553,RawDown,-0.137,-0.152,-0.121,-0.095,-0.113,-0.011,0.026,0.017,-0.020,-6.027,-5.952,-5.984,-6.044,-6.018,5.306,5.317,5.372,5.375,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,3.023,3.153,3.323,3.069,3.144,3.217,3.285,3.175,RawDownGT,1.379,1.325,1.494,1.559,1.452,1.587,1.541,1.826,1.872,1.602,1.550,1.958,2.025,1.766,1.566,2.383,2.298,1.495,
20180912-201026,20180912-201107,NG,|上表面轮廓度 -71.179 超差|下表面轮廓度 -6.026 超差|内螺柱轮廓度 0.202 超差|外螺柱轮廓度 5.553 超差|,41.87,,A117WithFin,LeftStation,SPC,-71.179,0.018,-6.026,0.202,5.553,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.428,-71.397,-71.432,-71.525,-71.522,-71.539,-71.543,-71.563,RawDown,-0.229,-0.239,-0.222,-0.194,-0.208,-0.069,-0.065,-0.106,-0.142,-6.110,-6.054,-6.058,-6.129,-6.112,5.257,5.259,5.312,5.266,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.945,3.324,3.353,3.036,3.149,3.325,3.325,3.186,RawDownGT,1.287,1.238,1.393,1.460,1.357,1.529,1.450,1.704,1.751,1.519,1.448,1.884,1.940,1.672,1.517,2.325,2.238,1.386,
20180912-201125,20180912-201206,NG,|上表面轮廓度 -71.210 超差|下表面轮廓度 -6.009 超差|内螺柱轮廓度 0.154 超差|外螺柱轮廓度 5.552 超差|,40.40,F6R8346004AK93WD3,A117WithFin,LeftStation,SPC,-71.210,0.018,-6.009,0.154,5.552,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-72.055,-71.466,-71.389,-71.458,-71.853,-71.690,-71.538,-71.559,RawDown,-0.341,-0.238,-0.221,-0.294,-0.261,-0.346,-0.056,-0.057,-0.279,-6.424,-5.992,-5.978,-6.223,-6.129,4.839,5.265,5.352,5.334,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,3.572,3.392,3.309,2.969,3.480,3.476,3.320,3.182,RawDownGT,1.175,1.239,1.394,1.360,1.303,1.252,1.459,1.752,1.614,1.205,1.510,1.964,1.846,1.655,1.099,2.331,2.278,1.454,
20180912-201304,20180912-201345,NG,|上表面轮廓度 -71.091 超差|下表面轮廓度 -5.923 超差|内螺柱轮廓度 0.161 超差|外螺柱轮廓度 5.582 超差|,40.44,F6R834600AMK93WD8,A117WithFin,LeftStation,SPC,-71.091,0.008,-5.923,0.161,5.582,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.553,-71.469,-71.339,-71.550,-71.594,-71.549,-71.497,-71.570,RawDown,-0.239,-0.257,-0.256,-0.226,-0.240,-0.074,-0.116,-0.140,-0.124,-6.071,-6.079,-6.063,-6.106,-6.119,5.313,5.256,5.327,5.214,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,3.070,3.396,3.259,3.061,3.221,3.335,3.279,3.192,RawDownGT,1.277,1.220,1.359,1.428,1.324,1.523,1.399,1.670,1.768,1.558,1.423,1.879,1.963,1.665,1.573,2.322,2.253,1.334,
20180912-201403,20180912-201443,NG,|上表面轮廓度 -71.128 超差|下表面轮廓度 -6.191 超差|内螺柱轮廓度 0.248 超差|外螺柱轮廓度 5.637 超差|,40.42,F6R8346002KK93WD0,A117WithFin,LeftStation,SPC,-71.128,0.010,-6.191,0.248,5.637,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.642,-71.369,-71.389,-71.495,-71.635,-71.574,-71.486,-71.529,RawDown,-0.198,-0.213,-0.158,-0.124,-0.170,-0.066,-0.020,-0.055,-0.109,-6.104,-5.997,-6.012,-6.118,-6.079,5.264,5.293,5.365,5.335,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,3.159,3.295,3.309,3.006,3.262,3.360,3.268,3.152,RawDownGT,1.318,1.264,1.457,1.530,1.395,1.531,1.495,1.754,1.784,1.525,1.505,1.930,1.951,1.705,1.524,2.359,2.291,1.455,
20180912-201457,20180912-201538,NG,|上表面轮廓度 -71.140 超差|下表面轮廓度 -5.999 超差|内螺柱轮廓度 0.197 超差|外螺柱轮廓度 5.628 超差|,40.40,F6R8342000NK93WD7,A117WithFin,LeftStation,SPC,-71.140,0.020,-5.999,0.197,5.628,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.594,-71.337,-71.356,-71.560,-71.551,-71.484,-71.494,-71.551,RawDown,-0.187,-0.222,-0.216,-0.174,-0.182,-0.040,-0.051,-0.034,-0.085,-6.100,-6.011,-5.972,-6.104,-6.072,5.270,5.322,5.403,5.301,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,3.111,3.264,3.276,3.071,3.178,3.270,3.276,3.174,RawDownGT,1.329,1.255,1.399,1.480,1.382,1.557,1.464,1.776,1.807,1.529,1.491,1.970,1.965,1.712,1.530,2.388,2.329,1.421,
20180912-201555,20180912-201636,NG,|上表面轮廓度 -71.092 超差|下表面轮廓度 -5.976 超差|内螺柱轮廓度 0.238 超差|外螺柱轮廓度 5.656 超差|,40.45,F6R8346002AK93WD9,A117WithFin,LeftStation,SPC,-71.092,0.014,-5.976,0.238,5.656,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.604,-71.293,-71.423,-71.484,-71.490,-71.370,-71.503,-71.548,RawDown,-0.201,-0.253,-0.252,-0.211,-0.218,-0.107,-0.035,-0.076,-0.132,-6.127,-6.028,-6.019,-6.140,-6.096,5.207,5.246,5.325,5.296,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,3.121,3.219,3.344,2.995,3.117,3.156,3.285,3.170,RawDownGT,1.315,1.224,1.363,1.443,1.346,1.490,1.480,1.733,1.760,1.502,1.474,1.923,1.929,1.688,1.467,2.312,2.251,1.416,
20180912-201704,20180912-201744,NG,|上表面轮廓度 -70.997 超差|下表面轮廓度 -5.983 超差|内螺柱轮廓度 0.193 超差|外螺柱轮廓度 5.694 超差|,40.42,F6R8342004CK93WD5,A117WithFin,LeftStation,SPC,-70.997,0.001,-5.983,0.193,5.694,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.502,-71.366,-71.349,-71.544,-71.413,-71.467,-71.467,-71.547,RawDown,-0.156,-0.121,-0.150,-0.185,-0.153,-0.048,-0.058,0.046,-0.058,-6.047,-6.080,-6.041,-6.043,-6.062,5.290,5.345,5.388,5.248,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,3.019,3.293,3.270,3.055,3.040,3.253,3.249,3.170,RawDownGT,1.360,1.356,1.465,1.469,1.411,1.549,1.457,1.855,1.834,1.582,1.422,1.901,2.026,1.722,1.550,2.411,2.314,1.368,
20180912-201802,20180912-201842,NG,|上表面轮廓度 -71.175 超差|下表面轮廓度 -5.891 超差|内螺柱轮廓度 0.163 超差|外螺柱轮廓度 5.542 超差|,40.40,F6R8346002MK93WDY,A117WithFin,LeftStation,SPC,-71.175,0.015,-5.891,0.163,5.542,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.440,-71.500,-71.398,-71.512,-71.572,-71.545,-71.512,-71.559,RawDown,-0.228,-0.213,-0.201,-0.215,-0.199,-0.076,-0.072,-0.097,-0.126,-6.098,-6.061,-5.999,-6.075,-6.083,5.289,5.303,5.357,5.260,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.957,3.427,3.318,3.023,3.199,3.331,3.294,3.182,RawDownGT,1.288,1.264,1.414,1.439,1.366,1.522,1.443,1.713,1.767,1.531,1.441,1.943,1.994,1.701,1.549,2.369,2.283,1.380,
