StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,AB-fin up surface profile,J-pedestal flatness,O-inner standoff profile,SPEC,SPEC-AB,UpLimit-AB,DownLimit-AB,SPEC-J,UpLimit-J,DownLimit-J,SPEC-O,UpLimit-O,DownLimit-O,RawUp,up,up,up,up,RawDown,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,RawUpSTATUS,up,up,up,up,RawDownSTATUS,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,RawUpGT,up,up,up,up,RawDownGT,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,
20180913-094421,20180913-094439,OK,,17.15,,A117WithFin,LeftStation,SPC,-70.452,0.003,0.003,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.452,-70.453,-70.449,-70.451,RawDown,0.005,0.003,0.014,0.013,0.007,0.007,0.007,0.016,0.016,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.057,3.056,3.161,3.161,RawDownGT,1.526,1.648,1.625,1.495,1.574,1.667,1.790,1.766,1.637,
20180913-094517,20180913-094534,OK,,17.11,,A117WithFin,LeftStation,SPC,-70.451,0.003,0.043,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.824,-71.194,-70.839,-71.194,RawDown,-0.370,-0.365,-0.662,-0.660,-0.509,-0.325,-0.326,-0.624,-0.621,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.429,3.797,3.551,3.904,RawDownGT,1.150,1.280,0.949,0.822,1.058,1.334,1.457,1.126,1.000,
20180913-094544,20180913-094601,OK,,17.12,,A117WithFin,LeftStation,SPC,-70.460,0.002,0.011,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.451,-70.452,-70.449,-70.450,RawDown,0.008,0.014,0.025,0.023,0.017,0.020,0.018,0.029,0.030,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.056,3.054,3.161,3.160,RawDownGT,1.529,1.658,1.636,1.505,1.585,1.679,1.801,1.779,1.651,
20180913-094730,20180913-094748,OK,,17.11,,A117WithFin,LeftStation,SPC,-70.462,0.004,0.010,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.453,-70.452,-70.452,-70.451,RawDown,0.008,0.014,0.026,0.024,0.021,0.019,0.020,0.030,0.031,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.058,3.055,3.163,3.161,RawDownGT,1.528,1.658,1.637,1.506,1.588,1.679,1.803,1.780,1.652,
20180913-094829,20180913-094846,OK,,17.11,,A117WithFin,LeftStation,SPC,-70.461,0.003,0.009,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.452,-70.451,-70.452,-70.451,RawDown,0.007,0.012,0.023,0.022,0.018,0.018,0.017,0.029,0.030,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.057,3.053,3.163,3.161,RawDownGT,1.528,1.657,1.634,1.504,1.585,1.677,1.801,1.779,1.651,
20180913-094947,20180913-095006,OK,,18.68,,A117WithFin,LeftStation,SPC,-70.462,0.002,0.008,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.455,-70.452,-70.454,-70.452,RawDown,0.007,0.011,0.022,0.022,0.016,0.016,0.016,0.028,0.029,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.059,3.054,3.165,3.162,RawDownGT,1.527,1.656,1.633,1.504,1.584,1.676,1.800,1.778,1.650,
20180913-095146,20180913-095207,OK,,20.23,,A117WithFin,LeftStation,SPC,-70.462,0.002,0.009,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.456,-70.454,-70.454,-70.453,RawDown,0.005,0.009,0.024,0.023,0.016,0.015,0.016,0.027,0.028,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.060,3.056,3.165,3.163,RawDownGT,1.526,1.653,1.635,1.505,1.584,1.675,1.799,1.777,1.649,
20180913-100223,20180913-100243,OK,,20.26,,A117WithFin,LeftStation,SPC,-70.554,0.002,0.003,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.498,-70.498,-70.499,-70.499,RawDown,0.035,0.040,0.050,0.049,0.043,0.039,0.038,0.049,0.051,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.063,3.060,3.168,3.165,RawDownGT,1.555,1.685,1.663,1.532,1.611,1.699,1.822,1.802,1.674,
20180913-100440,20180913-100500,OK,,20.24,,A117WithFin,LeftStation,SPC,-70.561,0.002,0.010,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.497,-70.500,-70.499,-70.501,RawDown,0.038,0.042,0.054,0.054,0.048,0.050,0.046,0.058,0.061,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.066,3.067,3.172,3.172,RawDownGT,1.550,1.680,1.657,1.527,1.608,1.700,1.823,1.800,1.672,
20180913-100545,20180913-100605,OK,,20.27,,A117WithFin,LeftStation,SPC,-70.538,0.002,0.004,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.494,-70.493,-70.498,-70.495,RawDown,0.021,0.024,0.038,0.038,0.029,0.026,0.023,0.038,0.040,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.063,3.060,3.170,3.166,RawDownGT,1.533,1.662,1.641,1.510,1.589,1.676,1.800,1.780,1.651,
20180913-100804,20180913-100824,OK,,20.25,,A117WithFin,LeftStation,SPC,-70.561,0.002,-0.004,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.500,-70.499,-70.499,-70.500,RawDown,0.040,0.043,0.056,0.056,0.048,0.042,0.042,0.053,0.056,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.064,3.062,3.166,3.166,RawDownGT,1.556,1.684,1.665,1.534,1.612,1.700,1.826,1.804,1.677,
20180913-100849,20180913-100909,OK,,20.25,,A117WithFin,LeftStation,SPC,-70.534,0.003,-0.005,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.501,-70.499,-70.499,-70.500,RawDown,0.017,0.019,0.030,0.033,0.027,0.017,0.016,0.026,0.029,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.065,3.061,3.166,3.166,RawDownGT,1.533,1.660,1.639,1.511,1.591,1.675,1.800,1.777,1.649,
20180913-101641,20180913-101702,OK,,20.29,,A117WithFin,LeftStation,SPC,-70.532,0.006,0.017,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.498,-70.501,-70.501,-70.504,RawDown,0.020,0.019,0.028,0.026,0.018,0.031,0.028,0.041,0.043,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.065,3.066,3.170,3.172,RawDownGT,2.351,2.474,2.450,2.319,2.396,2.491,2.613,2.592,2.465,
20180913-102028,20180913-102049,OK,,20.31,,A117WithFin,LeftStation,SPC,-70.548,0.004,-0.003,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.499,-70.499,-70.497,-70.500,RawDown,0.037,0.032,0.047,0.047,0.038,0.033,0.030,0.047,0.049,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.066,3.063,3.170,3.170,RawDownGT,2.652,2.773,2.751,2.620,2.699,2.790,2.913,2.892,2.763,
20180913-102452,20180913-102512,OK,,20.31,,A117WithFin,LeftStation,SPC,-70.551,0.006,-0.007,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.502,-70.501,-70.500,-70.502,RawDown,0.041,0.036,0.050,0.048,0.039,0.035,0.030,0.044,0.044,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.069,3.067,3.173,3.173,RawDownGT,2.655,2.776,2.753,2.621,2.699,2.790,2.911,2.888,2.759,
20180913-102751,20180913-102811,OK,,20.32,,A117WithFin,LeftStation,SPC,-70.527,0.004,0.006,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.500,-70.503,-70.500,-70.503,RawDown,0.007,0.009,0.022,0.023,0.012,0.013,0.010,0.027,0.028,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.067,3.069,3.173,3.174,RawDownGT,2.621,2.748,2.725,2.597,2.672,2.769,2.891,2.871,2.743,
20180913-102832,20180913-102852,OK,,20.31,,A117WithFin,LeftStation,SPC,-70.533,0.002,0.010,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.501,-70.499,-70.501,-70.502,RawDown,0.008,0.012,0.025,0.023,0.017,0.018,0.014,0.029,0.031,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.068,3.065,3.175,3.174,RawDownGT,2.622,2.751,2.728,2.597,2.678,2.774,2.895,2.874,2.746,
20180913-102907,20180913-102928,OK,,20.51,,A117WithFin,LeftStation,SPC,-70.526,0.001,0.006,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.500,-70.498,-70.503,-70.502,RawDown,0.009,0.008,0.022,0.022,0.016,0.013,0.012,0.027,0.028,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,3.067,3.063,3.176,3.174,RawDownGT,2.623,2.748,2.725,2.595,2.676,2.769,2.893,2.872,2.743,
