StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,RawUp,up,up,up,up,up,up,up,up,RawDown,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,
20180918-201541,20180918-201627,NG,|下表面轮廓度 -6.141 超差|外螺柱轮廓度 5.121 超差|,45.12,,A117NoFin,LeftStation,SPC,-10.683,0.223,0.012,-6.141,-0.082,5.121,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.492,-10.524,-10.472,-10.507,-10.477,-10.437,-10.407,-10.468,RawDown,0.008,0.011,0.046,0.037,0.015,-0.063,-0.070,-0.001,-0.030,-5.995,-5.985,-5.970,-6.010,-5.955,5.339,5.281,5.311,5.252,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.920,1.941,1.829,1.875,1.890,1.844,1.779,1.846,RawDownGT,2.257,2.257,2.247,2.241,2.240,2.176,2.162,2.134,2.112,2.255,2.254,2.087,2.058,2.198,2.263,1.940,1.957,2.163,
20180918-201647,20180918-201732,NG,|上表面轮廓度 -11.010 超差|上表面平行度 0.570 超差|下表面轮廓度 -6.297 超差|外螺柱轮廓度 4.796 超差|,45.36,,A117NoFin,LeftStation,SPC,-11.010,0.570,0.006,-6.297,-0.062,4.796,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.534,-10.816,-10.620,-10.580,-10.475,-10.584,-10.513,-10.474,RawDown,-0.046,-0.049,-0.010,0.004,-0.026,-0.081,-0.093,-0.010,-0.030,-5.993,-6.004,-6.027,-6.147,-5.952,5.243,4.991,5.210,5.218,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.963,2.233,1.978,1.948,1.888,1.991,1.885,1.852,RawDownGT,2.203,2.197,2.191,2.209,2.199,2.159,2.139,2.125,2.113,2.257,2.235,2.030,1.921,2.201,2.167,1.650,1.856,2.130,
20180918-201806,20180918-201851,NG,|下表面轮廓度 -6.121 超差|,45.07,,A117NoFin,LeftStation,SPC,-10.541,0.063,0.007,-6.121,-0.051,5.234,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.506,-10.574,-10.565,-10.518,-10.515,-10.532,-10.541,-10.518,RawDown,-0.025,-0.024,-0.024,-0.027,-0.031,-0.063,-0.056,-0.067,-0.080,-6.033,-6.051,-6.147,-6.153,-6.062,5.275,5.201,5.249,5.308,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.934,1.991,1.922,1.887,1.928,1.940,1.913,1.896,RawDownGT,2.225,2.222,2.177,2.177,2.194,2.177,2.176,2.068,2.063,2.216,2.188,1.910,1.915,2.091,2.199,1.860,1.895,2.219,
20180918-201907,20180918-201952,NG,|下表面轮廓度 -6.158 超差|,45.12,,A117NoFin,LeftStation,SPC,-10.616,0.164,0.005,-6.158,-0.048,5.181,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.482,-10.524,-10.413,-10.472,-10.465,-10.457,-10.419,-10.434,RawDown,0.013,0.026,0.051,0.029,0.028,-0.020,-0.002,0.022,-0.002,-5.967,-5.941,-6.003,-6.080,-5.971,5.291,5.273,5.386,5.326,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.911,1.942,1.770,1.840,1.878,1.864,1.791,1.811,RawDownGT,2.262,2.272,2.252,2.234,2.253,2.219,2.230,2.157,2.140,2.282,2.298,2.054,1.988,2.182,2.215,1.932,2.033,2.238,
20180918-202013,20180918-202058,NG,|下表面轮廓度 -6.181 超差|外螺柱轮廓度 5.118 超差|,45.07,,A117NoFin,LeftStation,SPC,-10.687,0.237,0.010,-6.181,-0.063,5.118,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.479,-10.497,-10.353,-10.498,-10.434,-10.396,-10.325,-10.421,RawDown,0.030,0.048,0.087,0.066,0.049,-0.019,-0.026,0.073,0.036,-5.988,-5.952,-5.907,-6.020,-5.923,5.292,5.308,5.434,5.281,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.907,1.915,1.711,1.866,1.847,1.803,1.697,1.798,RawDownGT,2.280,2.294,2.288,2.270,2.274,2.221,2.206,2.208,2.179,2.261,2.287,2.150,2.047,2.231,2.216,1.967,2.081,2.193,
20180918-202120,20180918-202205,NG,|下表面轮廓度 -6.116 超差|,45.10,,A117NoFin,LeftStation,SPC,-10.401,0.170,0.007,-6.116,-0.088,5.231,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.473,-10.637,-10.381,-10.440,-10.494,-10.556,-10.456,-10.445,RawDown,0.029,0.046,0.041,0.010,0.028,-0.051,-0.019,-0.013,-0.088,-6.003,-5.953,-5.999,-6.163,-6.017,5.294,5.166,5.413,5.321,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.902,2.054,1.738,1.808,1.907,1.964,1.828,1.823,RawDownGT,2.279,2.292,2.242,2.214,2.253,2.189,2.213,2.122,2.055,2.247,2.286,2.058,1.904,2.136,2.218,1.825,2.059,2.233,
20180918-202229,20180918-202314,NG,|下表面轮廓度 -6.023 超差|,45.05,,A117NoFin,LeftStation,SPC,-10.426,0.073,0.008,-6.023,-0.046,5.289,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.491,-10.664,-10.570,-10.447,-10.544,-10.652,-10.591,-10.491,RawDown,-0.038,-0.016,-0.040,-0.078,-0.044,-0.062,-0.003,-0.091,-0.152,-6.071,-5.986,-6.113,-6.223,-6.102,5.267,5.100,5.214,5.341,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.919,2.082,1.927,1.815,1.957,2.060,1.963,1.868,RawDownGT,2.212,2.230,2.161,2.127,2.181,2.177,2.229,2.044,1.991,2.179,2.253,1.944,1.845,2.052,2.191,1.759,1.861,2.253,
20180918-202332,20180918-202418,NG,|下表面轮廓度 -6.143 超差|外螺柱轮廓度 5.142 超差|,45.12,,A117NoFin,LeftStation,SPC,-10.633,0.192,0.005,-6.143,-0.064,5.142,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.451,-10.593,-10.426,-10.415,-10.438,-10.475,-10.397,-10.398,RawDown,0.039,0.068,0.078,0.045,0.054,0.016,0.022,0.035,-0.001,-5.991,-5.957,-5.944,-6.102,-5.990,5.320,5.182,5.392,5.345,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.880,2.010,1.783,1.784,1.851,1.882,1.769,1.775,RawDownGT,2.288,2.314,2.279,2.250,2.279,2.256,2.254,2.170,2.141,2.259,2.282,2.113,1.966,2.164,2.244,1.841,2.039,2.257,
20180918-202436,20180918-202521,NG,|凸台平面度 0.042 超差|下表面轮廓度 -6.021 超差|,45.12,,A117NoFin,LeftStation,SPC,-10.550,0.099,0.042,-6.021,-0.075,5.253,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.535,-10.521,-10.451,-10.507,-10.473,-10.459,-10.424,-10.454,RawDown,-0.010,0.018,0.006,0.000,0.041,-0.049,-0.045,0.018,-0.014,-6.020,-5.984,-5.923,-6.000,-5.958,5.250,5.271,5.353,5.296,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.963,1.938,1.809,1.876,1.886,1.866,1.796,1.831,RawDownGT,2.240,2.264,2.207,2.205,2.266,2.190,2.187,2.153,2.129,2.230,2.255,2.134,2.067,2.195,2.174,1.930,1.999,2.207,
20180918-202539,20180918-202624,NG,|上表面轮廓度 -10.713 超差|上表面平行度 0.276 超差|下表面轮廓度 -6.168 超差|外螺柱轮廓度 5.084 超差|,45.08,,A117NoFin,LeftStation,SPC,-10.713,0.276,0.016,-6.168,-0.072,5.084,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.524,-10.678,-10.448,-10.531,-10.468,-10.547,-10.453,-10.437,RawDown,-0.015,0.015,0.043,-0.002,-0.001,-0.065,-0.046,0.003,-0.074,-6.029,-5.970,-5.925,-6.141,-5.988,5.280,5.119,5.346,5.271,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.953,2.096,1.806,1.899,1.881,1.954,1.825,1.815,RawDownGT,2.235,2.261,2.244,2.202,2.224,2.175,2.186,2.138,2.068,2.221,2.269,2.132,1.926,2.165,2.204,1.778,1.992,2.182,
