StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,H1-ped1 to up height,UP-up flatness,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,SPEC-H1,UpLimit-H1,DownLimit-H1,SPEC-UP,UpLimit-UP,DownLimit-UP,RawUp,up,up,up,up,up,up,up,up,RawDown,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,
20180922-134624,20180922-134709,NG,|上表面轮廓度 -11.004 超差|上表面平行度 0.572 超差|下表面轮廓度 -6.304 超差|高度 10.554 超差|,44.99,,A117NoFin,LeftStation,SPC,-11.004,0.572,0.005,-6.304,-0.005,5.323,10.554,0.223,SPCMIN,-11.004,-11.004,0.000,-6.304,-0.056,4.788,10.447,0.000,SPCMAX,-10.431,-10.431,0.000,-5.950,-0.005,5.323,10.554,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,-10.50,0.200,-0.20,0.00,0.260,0.00,RawUp,-10.555,-10.529,-10.395,-10.710,-10.440,-10.395,-10.393,-10.520,RawDown,-0.066,-0.107,-0.016,0.035,-0.042,-0.104,-0.196,0.004,0.055,-5.977,-6.098,-5.901,-5.930,-5.885,5.228,5.263,5.384,5.074,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.968,2.068,1.873,2.063,1.869,1.889,1.851,1.913,RawDownGT,2.164,2.119,2.144,2.199,2.153,2.116,2.016,2.075,2.135,2.252,2.119,2.050,2.033,2.205,2.139,1.789,1.895,1.971,
20180922-134732,20180922-134817,NG,|上表面轮廓度 -10.703 超差|上表面平行度 0.276 超差|下表面轮廓度 -6.189 超差|高度 10.491 超差|,45.44,,A117NoFin,LeftStation,SPC,-10.703,0.276,0.004,-6.189,0.018,5.354,10.491,0.130,SPCMIN,-10.703,-10.703,0.000,-6.189,-0.036,5.078,10.451,0.000,SPCMAX,-10.427,-10.427,0.000,-5.976,0.018,5.354,10.491,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,-10.50,0.200,-0.20,0.00,0.260,0.00,RawUp,-10.477,-10.449,-10.315,-10.434,-10.383,-10.328,-10.274,-10.362,RawDown,0.031,0.060,0.109,0.084,0.074,0.007,0.023,0.120,0.085,-5.966,-5.911,-5.859,-5.974,-5.876,5.309,5.332,5.466,5.330,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.890,1.988,1.794,1.786,1.812,1.822,1.732,1.755,RawDownGT,2.261,2.286,2.269,2.248,2.269,2.227,2.235,2.191,2.165,2.263,2.306,2.093,1.990,2.214,2.220,1.857,1.977,2.227,
20180922-134838,20180922-134923,NG,|下表面轮廓度 -6.143 超差|高度 10.506 超差|,45.18,,A117NoFin,LeftStation,SPC,-10.555,0.086,0.006,-6.143,-0.026,5.286,10.506,0.051,SPCMIN,-10.555,-10.555,0.000,-6.143,-0.046,5.225,10.491,0.000,SPCMAX,-10.468,-10.468,0.000,-5.984,-0.026,5.286,10.506,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,-10.50,0.200,-0.20,0.00,0.260,0.00,RawUp,-10.476,-10.417,-10.344,-10.423,-10.406,-10.383,-10.356,-10.371,RawDown,0.066,0.081,0.106,0.081,0.080,0.015,0.044,0.080,0.054,-5.940,-5.899,-5.958,-6.009,-5.918,5.305,5.370,5.434,5.360,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.889,1.956,1.822,1.776,1.835,1.877,1.814,1.764,RawDownGT,2.296,2.307,2.266,2.245,2.275,2.235,2.257,2.151,2.133,2.289,2.318,1.994,1.954,2.172,2.217,1.896,1.945,2.257,
20180922-134939,20180922-135024,NG,|下表面轮廓度 -6.146 超差|高度 10.502 超差|,45.08,,A117NoFin,LeftStation,SPC,-10.559,0.079,0.005,-6.146,-0.024,5.289,10.502,0.050,SPCMIN,-10.559,-10.559,0.000,-6.146,-0.043,5.226,10.491,0.000,SPCMAX,-10.480,-10.480,0.000,-6.013,-0.024,5.289,10.502,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,-10.50,0.200,-0.20,0.00,0.260,0.00,RawUp,-10.505,-10.483,-10.489,-10.485,-10.466,-10.447,-10.467,-10.469,RawDown,0.011,0.012,0.024,0.021,0.012,-0.031,-0.018,-0.008,-0.017,-6.005,-6.017,-6.087,-6.076,-6.005,5.280,5.289,5.322,5.294,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.918,2.022,1.968,1.837,1.895,1.941,1.925,1.862,RawDownGT,2.241,2.238,2.184,2.185,2.207,2.189,2.195,2.063,2.063,2.224,2.200,1.864,1.887,2.085,2.192,1.814,1.833,2.191,
20180922-135038,20180922-135123,NG,|高度 10.511 超差|,45.01,,A117NoFin,LeftStation,SPC,-10.534,0.127,0.008,-6.099,-0.054,5.373,10.511,0.082,SPCMIN,-10.534,-10.534,0.000,-6.099,-0.089,5.224,10.495,0.000,SPCMAX,-10.407,-10.407,0.000,-6.006,-0.054,5.373,10.511,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,-10.50,0.200,-0.20,0.00,0.260,0.00,RawUp,-10.478,-10.493,-10.302,-10.429,-10.458,-10.478,-10.389,-10.412,RawDown,0.048,0.067,0.075,0.040,0.055,-0.034,-0.003,0.032,-0.038,-5.990,-5.933,-5.942,-6.083,-5.973,5.296,5.291,5.479,5.330,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.891,2.032,1.780,1.781,1.887,1.972,1.847,1.806,RawDownGT,2.278,2.293,2.235,2.204,2.250,2.186,2.210,2.103,2.041,2.239,2.284,2.010,1.880,2.117,2.208,1.817,1.990,2.227,
20180922-135136,20180922-135221,NG,|下表面轮廓度 -6.186 超差|高度 10.507 超差|,45.01,,A117NoFin,LeftStation,SPC,-10.669,0.210,0.012,-6.186,-0.014,5.315,10.507,0.136,SPCMIN,-10.669,-10.669,0.000,-6.186,-0.059,5.117,10.483,0.000,SPCMAX,-10.459,-10.459,0.000,-6.009,-0.014,5.315,10.507,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,-10.50,0.200,-0.20,0.00,0.260,0.00,RawUp,-10.473,-10.446,-10.263,-10.429,-10.391,-10.340,-10.247,-10.358,RawDown,0.066,0.092,0.134,0.103,0.089,0.011,0.026,0.135,0.082,-5.972,-5.903,-5.844,-5.990,-5.876,5.308,5.340,5.508,5.331,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.886,1.985,1.741,1.782,1.820,1.834,1.705,1.751,RawDownGT,2.296,2.318,2.294,2.267,2.284,2.232,2.239,2.206,2.161,2.257,2.314,2.108,1.973,2.214,2.219,1.865,2.019,2.228,
20180922-135239,20180922-135324,NG,|下表面轮廓度 -6.151 超差|高度 10.495 超差|,44.99,,A117NoFin,LeftStation,SPC,-10.633,0.183,0.005,-6.151,-0.002,5.311,10.495,0.106,SPCMIN,-10.633,-10.633,0.000,-6.151,-0.054,5.137,10.476,0.000,SPCMAX,-10.450,-10.450,0.000,-6.006,-0.002,5.311,10.495,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,-10.50,0.200,-0.20,0.00,0.260,0.00,RawUp,-10.446,-10.528,-10.339,-10.405,-10.395,-10.407,-10.338,-10.359,RawDown,0.064,0.091,0.108,0.078,0.081,0.036,0.045,0.078,0.043,-5.971,-5.936,-5.907,-6.052,-5.950,5.323,5.242,5.437,5.363,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.859,2.067,1.817,1.758,1.824,1.901,1.796,1.753,RawDownGT,2.294,2.317,2.268,2.242,2.276,2.257,2.258,2.149,2.123,2.258,2.281,2.045,1.912,2.140,2.235,1.768,1.948,2.260,
20180922-135337,20180922-135422,NG,|高度 10.471 超差|,45.01,,A117NoFin,LeftStation,SPC,-10.507,0.119,0.009,-6.008,-0.013,5.368,10.471,0.067,SPCMIN,-10.507,-10.507,0.000,-6.008,-0.038,5.294,10.450,0.000,SPCMAX,-10.388,-10.388,0.000,-5.995,-0.013,5.368,10.471,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,-10.50,0.200,-0.20,0.00,0.260,0.00,RawUp,-10.468,-10.575,-10.504,-10.453,-10.510,-10.586,-10.545,-10.469,RawDown,-0.018,-0.003,-0.021,-0.054,-0.026,-0.034,0.008,-0.065,-0.108,-6.051,-5.978,-6.079,-6.163,-6.071,5.297,5.181,5.261,5.348,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.881,2.114,1.983,1.806,1.939,2.080,2.003,1.862,RawDownGT,2.212,2.223,2.139,2.110,2.169,2.187,2.221,2.006,1.971,2.178,2.239,1.872,1.800,2.019,2.209,1.707,1.772,2.245,
20180922-135436,20180922-135521,NG,|下表面轮廓度 -6.157 超差|高度 10.523 超差|,45.05,,A117NoFin,LeftStation,SPC,-10.682,0.257,0.017,-6.157,-0.011,5.342,10.523,0.163,SPCMIN,-10.682,-10.682,0.000,-6.157,-0.083,5.106,10.489,0.000,SPCMAX,-10.425,-10.425,0.000,-5.984,-0.011,5.342,10.523,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,-10.50,0.200,-0.20,0.00,0.260,0.00,RawUp,-10.486,-10.582,-10.377,-10.488,-10.404,-10.461,-10.382,-10.384,RawDown,0.035,0.059,0.092,0.048,0.047,-0.015,-0.015,0.060,-0.011,-5.989,-5.939,-5.869,-6.069,-5.934,5.306,5.205,5.410,5.294,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.899,2.121,1.856,1.841,1.833,1.955,1.840,1.777,RawDownGT,2.265,2.285,2.252,2.212,2.242,2.205,2.197,2.131,2.069,2.240,2.278,2.082,1.895,2.156,2.217,1.730,1.921,2.191,
20180922-135533,20180922-135618,NG,|凸台平面度 0.042 超差|高度 10.520 超差|,45.08,,A117NoFin,LeftStation,SPC,-10.540,0.112,0.042,-6.031,-0.007,5.318,10.520,0.077,SPCMIN,-10.540,-10.540,0.000,-6.031,-0.073,5.228,10.473,0.000,SPCMAX,-10.427,-10.427,0.000,-5.951,-0.007,5.318,10.520,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,-10.50,0.200,-0.20,0.00,0.260,0.00,RawUp,-10.522,-10.474,-10.369,-10.460,-10.433,-10.407,-10.352,-10.405,RawDown,0.020,0.051,0.043,0.032,0.074,-0.026,-0.008,0.047,0.017,-6.005,-5.955,-5.866,-5.968,-5.917,5.262,5.311,5.413,5.308,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.935,2.013,1.848,1.812,1.862,1.901,1.810,1.798,RawDownGT,2.250,2.277,2.203,2.196,2.269,2.195,2.204,2.118,2.096,2.224,2.262,2.086,1.995,2.173,2.174,1.837,1.924,2.205,
