StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,W-vc up surface profile,X-vc up parallelism,Y-pedestal 1 flatness,T-pedestal 2 profile,S-pedestal 2 parallelism,V-vc down surface profile,AG-inner standoff profile,AH-outer standoff profile,SPCMIN,上表面轮廓度MIN,上表面平行度MIN,凸台1平面度MIN,凸台2轮廓度MIN,凸台2平行度MIN,下表面轮廓度MIN,内螺柱轮廓度MIN,外螺柱轮廓度MIN,SPCMAX,上表面轮廓度MAX,上表面平行度MAX,凸台1平面度MAX,凸台2轮廓度MAX,凸台2平行度MAX,下表面轮廓度MAX,内螺柱轮廓度MAX,外螺柱轮廓度MAX,SPEC,SPEC-W,UpLimit-W,DownLimit-W,SPEC-X,UpLimit-X,DownLimit-X,SPEC-Y,UpLimit-Y,DownLimit-Y,SPEC-T,UpLimit-T,DownLimit-T,SPEC-S,UpLimit-S,DownLimit-S,SPEC-V,UpLimit-V,DownLimit-V,SPEC-AG,UpLimit-AG,DownLimit-AG,SPEC-AH,UpLimit-AH,DownLimit-AH,,SPC,W-vc up surface profile,X-vc up parallelism,Y-pedestal 1 flatness,T-pedestal 2 profile,S-pedestal 2 parallelism,V-vc down surface profile,AG-inner standoff profile,AH-outer standoff profile,SPEC,SPEC-W,UpLimit-W,DownLimit-W,SPEC-X,UpLimit-X,DownLimit-X,SPEC-Y,UpLimit-Y,DownLimit-Y,SPEC-T,UpLimit-T,DownLimit-T,SPEC-S,UpLimit-S,DownLimit-S,SPEC-V,UpLimit-V,DownLimit-V,SPEC-AG,UpLimit-AG,DownLimit-AG,SPEC-AH,UpLimit-AH,DownLimit-AH,RawUp,up,up,up,up,up,up,up,up,RawDown,outer,outer,outer,outer,inner,down,ped2,ped2,ped2,ped2,ped2,inner,inner,down,inner,inner,inner,down,down,ped1,ped1,ped1,ped1,ped1,inner,down,down,inner,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,outer,outer,outer,outer,inner,down,ped2,ped2,ped2,ped2,ped2,inner,inner,down,inner,inner,inner,down,down,ped1,ped1,ped1,ped1,ped1,inner,down,down,inner,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,outer,outer,outer,outer,inner,down,ped2,ped2,ped2,ped2,ped2,inner,inner,down,inner,inner,inner,down,down,ped1,ped1,ped1,ped1,ped1,inner,down,down,inner,
20181027-194643,20181027-194743,NG,|上表面轮廓度 -8.725 超差|凸台2平行度 0.056 超差|下表面轮廓度 -4.111 超差|,60.09,,A147NoFin,LeftStation,SPC,-8.725,0.137,0.008,-0.042,0.056,-4.111,-0.057,5.265,SPC MIN,-8.725,-8.672,-0.004,-0.098,-0.096,-4.111,-0.201,5.093,SPC MAX,-8.527,-8.535,0.004,-0.042,-0.040,-3.965,-0.057,5.265,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-8.725,0.137,0.008,-0.042,0.056,-4.111,-0.057,5.265,SPCMIN,-8.725,-8.672,-0.004,-0.098,-0.096,-4.111,-0.201,5.093,SPCMAX,-8.527,-8.535,0.004,-0.042,-0.040,-3.965,-0.057,5.265,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.648,-10.522,-10.471,-10.615,-10.481,-10.461,-10.453,-10.491,RawDown,3.199,3.229,3.382,3.297,-2.023,-5.958,-1.916,-1.935,-1.915,-1.912,-1.929,-1.978,-1.982,-5.901,-2.016,-2.006,-2.002,-5.909,-5.928,-1.983,-1.954,-1.944,-1.987,-1.962,-2.083,-5.967,-5.966,-2.060,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.649,2.534,2.355,2.488,2.458,2.442,2.360,2.394,RawDownGT,2.073,2.155,1.962,1.826,1.886,2.590,2.682,2.614,2.649,2.702,2.652,1.961,2.050,2.777,2.079,2.060,2.001,2.731,2.782,2.772,2.751,2.777,2.784,2.776,2.106,2.825,2.807,2.100,
20181027-194800,20181027-194901,NG,|上表面轮廓度 -9.004 超差|上表面平行度 0.298 超差|凸台2轮廓度 -0.098 超差|凸台2平行度 0.139 超差|下表面轮廓度 -4.220 超差|外螺柱轮廓度 5.177 超差|,60.14,,A147NoFin,LeftStation,SPC,-9.004,0.298,0.003,-0.098,0.139,-4.220,-0.079,5.177,SPC MIN,-9.004,-8.868,-0.001,-0.237,-0.242,-4.220,-0.383,4.815,SPC MAX,-8.531,-8.570,0.002,-0.098,-0.103,-3.962,-0.079,5.177,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-9.004,0.298,0.003,-0.098,0.139,-4.220,-0.079,5.177,SPCMIN,-9.004,-8.868,-0.001,-0.237,-0.242,-4.220,-0.383,4.815,SPCMAX,-8.531,-8.570,0.002,-0.098,-0.103,-3.962,-0.079,5.177,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.857,-10.584,-10.497,-10.776,-10.467,-10.389,-10.377,-10.455,RawDown,3.019,3.079,3.342,3.235,-2.012,-5.911,-1.839,-1.888,-1.874,-1.831,-1.875,-1.955,-1.920,-5.836,-1.960,-1.971,-1.944,-5.852,-5.925,-2.004,-1.917,-1.900,-1.980,-1.952,-2.114,-6.008,-6.028,-2.130,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.858,2.596,2.381,2.649,2.444,2.369,2.284,2.358,RawDownGT,1.893,2.005,1.923,1.765,1.897,2.637,2.760,2.660,2.690,2.783,2.706,1.983,2.112,2.843,2.135,2.095,2.059,2.788,2.785,2.751,2.788,2.821,2.790,2.786,2.075,2.784,2.745,2.030,
20181027-194921,20181027-195021,NG,|上表面轮廓度 -8.738 超差|凸台2平行度 0.076 超差|下表面轮廓度 -4.100 超差|,59.98,,A147NoFin,LeftStation,SPC,-8.738,0.151,0.015,-0.040,0.076,-4.100,-0.072,5.272,SPC MIN,-8.738,-8.708,-0.006,-0.116,-0.114,-4.100,-0.219,5.082,SPC MAX,-8.564,-8.557,0.009,-0.040,-0.038,-4.015,-0.072,5.272,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-8.738,0.151,0.015,-0.040,0.076,-4.100,-0.072,5.272,SPCMIN,-8.738,-8.708,-0.006,-0.116,-0.114,-4.100,-0.219,5.082,SPCMAX,-8.564,-8.557,0.009,-0.040,-0.038,-4.015,-0.072,5.272,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.648,-10.522,-10.430,-10.597,-10.510,-10.467,-10.459,-10.496,RawDown,3.209,3.247,3.419,3.297,-2.007,-5.933,-1.886,-1.889,-1.898,-1.885,-1.894,-1.973,-2.008,-5.913,-2.021,-2.038,-2.024,-5.935,-5.979,-1.979,-1.931,-1.915,-1.948,-1.933,-2.060,-6.000,-6.016,-2.073,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.649,2.534,2.314,2.470,2.487,2.448,2.367,2.400,RawDownGT,2.083,2.173,1.999,1.827,1.902,2.615,2.712,2.659,2.666,2.729,2.688,1.965,2.024,2.765,2.074,2.027,1.980,2.705,2.731,2.776,2.774,2.805,2.823,2.805,2.129,2.792,2.757,2.087,
20181027-195045,20181027-195145,NG,|上表面轮廓度 -8.904 超差|凸台2轮廓度 -0.092 超差|凸台2平行度 0.113 超差|下表面轮廓度 -4.195 超差|,59.73,,A147NoFin,LeftStation,SPC,-8.904,0.253,0.011,-0.092,0.113,-4.195,-0.077,5.253,SPC MIN,-8.904,-8.808,-0.005,-0.206,-0.202,-4.195,-0.315,4.905,SPC MAX,-8.553,-8.555,0.006,-0.092,-0.089,-4.005,-0.077,5.253,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-8.904,0.253,0.011,-0.092,0.113,-4.195,-0.077,5.253,SPCMIN,-8.904,-8.808,-0.005,-0.206,-0.202,-4.195,-0.315,4.905,SPCMAX,-8.553,-8.555,0.006,-0.092,-0.089,-4.005,-0.077,5.253,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.638,-10.527,-10.467,-10.693,-10.443,-10.400,-10.376,-10.420,RawDown,3.218,3.161,3.377,3.283,-1.977,-5.899,-1.850,-1.891,-1.853,-1.830,-1.862,-1.929,-1.898,-5.828,-1.932,-1.954,-1.946,-5.865,-5.913,-1.926,-1.878,-1.859,-1.930,-1.899,-2.055,-5.959,-5.961,-2.039,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.639,2.539,2.351,2.566,2.420,2.380,2.284,2.323,RawDownGT,2.093,2.087,1.957,1.813,1.932,2.649,2.749,2.657,2.711,2.784,2.720,2.010,2.135,2.850,2.163,2.112,2.057,2.775,2.797,2.829,2.827,2.862,2.841,2.839,2.134,2.832,2.812,2.121,
20181027-201542,20181027-201643,NG,|上表面轮廓度 -8.862 超差|上表面平行度 0.331 超差|凸台2轮廓度 -0.069 超差|凸台2平行度 0.108 超差|下表面轮廓度 -4.142 超差|,60.93,,A147NoFin,LeftStation,SPC,-8.862,0.331,0.015,-0.069,0.108,-4.142,0.002,5.312,SPC MIN,-8.862,-8.806,-0.007,-0.177,-0.180,-4.142,-0.284,4.978,SPC MAX,-8.471,-8.475,0.008,-0.069,-0.072,-3.943,0.002,5.312,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-8.862,0.331,0.015,-0.069,0.108,-4.142,0.002,5.312,SPCMIN,-8.862,-8.806,-0.007,-0.177,-0.180,-4.142,-0.284,4.978,SPCMAX,-8.471,-8.475,0.008,-0.069,-0.072,-3.943,0.002,5.312,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.605,-10.533,-10.465,-10.625,-10.384,-10.383,-10.381,-10.406,RawDown,3.248,3.235,3.376,3.273,-1.953,-5.909,-1.852,-1.881,-1.877,-1.854,-1.876,-1.948,-1.760,-5.832,-1.913,-1.919,-1.931,-5.841,-5.878,-1.938,-1.899,-1.855,-1.920,-1.912,-2.021,-5.975,-5.946,-1.993,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.606,2.545,2.349,2.498,2.361,2.364,2.288,2.309,RawDownGT,2.123,2.161,1.957,1.802,1.956,2.639,2.746,2.667,2.687,2.760,2.705,1.990,2.273,2.846,2.182,2.147,2.072,2.799,2.832,2.817,2.806,2.865,2.850,2.826,2.168,2.816,2.827,2.167,
20181027-201707,20181027-201807,NG,|上表面轮廓度 -9.092 超差|上表面平行度 0.453 超差|凸台2轮廓度 -0.133 超差|凸台2平行度 0.133 超差|下表面轮廓度 -4.287 超差|,60.29,,A147NoFin,LeftStation,SPC,-9.092,0.453,0.010,-0.133,0.133,-4.287,-0.088,5.234,SPC MIN,-9.092,-8.968,-0.007,-0.271,-0.270,-4.287,-0.462,4.721,SPC MAX,-8.569,-8.515,0.003,-0.133,-0.137,-4.029,-0.088,5.234,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-9.092,0.453,0.010,-0.133,0.133,-4.287,-0.088,5.234,SPCMIN,-9.092,-8.968,-0.007,-0.271,-0.270,-4.287,-0.462,4.721,SPCMAX,-8.569,-8.515,0.003,-0.133,-0.137,-4.029,-0.088,5.234,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.712,-10.604,-10.524,-10.660,-10.423,-10.392,-10.398,-10.426,RawDown,3.143,3.190,3.301,3.209,-2.033,-5.910,-1.815,-1.876,-1.869,-1.820,-1.854,-1.988,-1.918,-5.851,-1.907,-1.920,-1.943,-5.845,-5.902,-1.921,-1.846,-1.843,-1.923,-1.892,-2.045,-6.008,-6.001,-2.060,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.713,2.616,2.408,2.533,2.400,2.373,2.306,2.329,RawDownGT,2.018,2.116,1.882,1.739,1.876,2.638,2.783,2.672,2.695,2.794,2.727,1.951,2.114,2.828,2.188,2.145,2.061,2.795,2.808,2.834,2.859,2.878,2.848,2.846,2.144,2.784,2.772,2.100,
20181027-201829,20181027-201931,NG,|上表面轮廓度 -9.141 超差|上表面平行度 0.693 超差|凸台2轮廓度 -0.175 超差|凸台2平行度 0.201 超差|下表面轮廓度 -4.269 超差|,61.31,,A147NoFin,LeftStation,SPC,-9.141,0.693,0.020,-0.175,0.201,-4.269,0.017,5.402,SPC MIN,-9.141,-9.047,-0.008,-0.377,-0.378,-4.269,-0.511,4.690,SPC MAX,-8.445,-8.354,0.013,-0.175,-0.176,-3.936,0.017,5.402,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-9.141,0.693,0.020,-0.175,0.201,-4.269,0.017,5.402,SPCMIN,-9.141,-9.047,-0.008,-0.377,-0.378,-4.269,-0.511,4.690,SPCMAX,-8.445,-8.354,0.013,-0.175,-0.176,-3.936,0.017,5.402,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.709,-10.567,-10.502,-10.647,-10.444,-10.432,-10.389,-10.399,RawDown,3.139,3.200,3.329,3.230,-2.057,-5.956,-1.893,-1.954,-1.931,-1.859,-1.928,-1.993,-1.903,-5.789,-1.922,-1.969,-1.954,-5.883,-5.949,-2.040,-1.931,-1.877,-1.969,-1.938,-2.060,-6.004,-6.041,-2.088,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.710,2.579,2.386,2.520,2.421,2.413,2.297,2.302,RawDownGT,2.013,2.126,1.909,1.759,1.852,2.592,2.706,2.595,2.633,2.755,2.654,1.946,2.130,2.890,2.173,2.097,2.049,2.757,2.761,2.715,2.774,2.844,2.802,2.800,2.129,2.788,2.732,2.072,
20181027-201945,20181027-202045,NG,|上表面轮廓度 -9.070 超差|上表面平行度 0.410 超差|凸台2轮廓度 -0.122 超差|凸台2平行度 0.138 超差|下表面轮廓度 -4.242 超差|,60.43,,A147NoFin,LeftStation,SPC,-9.070,0.410,0.010,-0.122,0.138,-4.242,-0.087,5.227,SPC MIN,-9.070,-8.937,-0.006,-0.260,-0.270,-4.242,-0.426,4.759,SPC MAX,-8.557,-8.526,0.003,-0.122,-0.131,-4.018,-0.087,5.227,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-9.070,0.410,0.010,-0.122,0.138,-4.242,-0.087,5.227,SPCMIN,-9.070,-8.937,-0.006,-0.260,-0.270,-4.242,-0.426,4.759,SPCMAX,-8.557,-8.526,0.003,-0.122,-0.131,-4.018,-0.087,5.227,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.849,-10.638,-10.505,-10.717,-10.493,-10.400,-10.403,-10.450,RawDown,2.993,3.137,3.332,3.191,-2.043,-5.925,-1.854,-1.904,-1.881,-1.851,-1.894,-1.795,-1.935,-5.832,-1.962,-2.001,-1.960,-5.870,-5.982,-2.001,-1.917,-1.890,-1.980,-1.955,-2.095,-6.046,-6.066,-2.145,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.850,2.650,2.389,2.590,2.470,2.380,2.311,2.354,RawDownGT,1.868,2.063,1.912,1.721,1.866,2.623,2.745,2.644,2.683,2.763,2.688,2.144,2.097,2.847,2.133,2.065,2.043,2.770,2.728,2.754,2.788,2.831,2.790,2.783,2.094,2.746,2.707,2.015,
20181027-202107,20181027-202207,NG,|上表面轮廓度 -8.911 超差|上表面平行度 0.374 超差|凸台2轮廓度 -0.081 超差|凸台2平行度 0.134 超差|下表面轮廓度 -4.159 超差|,60.33,,A147NoFin,LeftStation,SPC,-8.911,0.374,0.003,-0.081,0.134,-4.159,-0.020,5.297,SPC MIN,-8.911,-8.837,-0.001,-0.215,-0.215,-4.159,-0.313,4.916,SPC MAX,-8.468,-8.463,0.002,-0.081,-0.081,-3.956,-0.020,5.297,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-8.911,0.374,0.003,-0.081,0.134,-4.159,-0.020,5.297,SPCMIN,-8.911,-8.837,-0.001,-0.215,-0.215,-4.159,-0.313,4.916,SPCMAX,-8.468,-8.463,0.002,-0.081,-0.081,-3.956,-0.020,5.297,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.686,-10.627,-10.502,-10.648,-10.434,-10.427,-10.396,-10.409,RawDown,3.153,3.195,3.326,3.192,-2.064,-5.965,-1.898,-1.938,-1.928,-1.883,-1.918,-1.980,-1.930,-5.853,-1.932,-1.961,-1.966,-5.898,-5.951,-2.000,-1.942,-1.896,-1.955,-1.946,-2.044,-6.001,-6.012,-2.066,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.687,2.639,2.386,2.521,2.411,2.407,2.303,2.313,RawDownGT,2.027,2.121,1.906,1.722,1.845,2.583,2.701,2.610,2.636,2.731,2.664,1.958,2.103,2.826,2.163,2.104,2.038,2.742,2.759,2.755,2.763,2.825,2.815,2.792,2.145,2.791,2.761,2.094,
20181027-202228,20181027-202328,NG,|上表面轮廓度 -9.164 超差|上表面平行度 0.520 超差|凸台2轮廓度 -0.066 超差|凸台2平行度 0.200 超差|下表面轮廓度 -4.330 超差|,60.11,,A147NoFin,LeftStation,SPC,-9.164,0.520,0.006,-0.066,0.200,-4.330,-0.092,5.239,SPC MIN,-9.164,-8.966,-0.003,-0.266,-0.260,-4.330,-0.469,4.645,SPC MAX,-8.553,-8.446,0.003,-0.066,-0.060,-4.024,-0.092,5.239,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-9.164,0.520,0.006,-0.066,0.200,-4.330,-0.092,5.239,SPCMIN,-9.164,-8.966,-0.003,-0.266,-0.260,-4.330,-0.469,4.645,SPCMAX,-8.553,-8.446,0.003,-0.066,-0.060,-4.024,-0.092,5.239,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.656,-10.631,-10.466,-10.848,-10.441,-10.417,-10.417,-10.537,RawDown,3.193,2.989,3.370,3.178,-2.041,-5.940,-1.848,-1.899,-1.866,-1.838,-1.861,-1.969,-1.967,-5.926,-2.038,-1.963,-1.958,-5.864,-5.927,-1.977,-1.898,-1.948,-2.037,-1.969,-2.190,-6.113,-6.039,-2.085,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.657,2.643,2.350,2.721,2.418,2.398,2.324,2.441,RawDownGT,2.067,1.915,1.950,1.708,1.868,2.608,2.750,2.650,2.698,2.776,2.720,1.969,2.066,2.752,2.057,2.103,2.045,2.776,2.783,2.778,2.807,2.772,2.733,2.769,1.999,2.679,2.734,2.075,
