StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPCMIN,上表面轮廓度MIN,上表面平行度MIN,凸台平面度MIN,下表面轮廓度MIN,内螺柱轮廓度MIN,外螺柱轮廓度MIN,SPCMAX,上表面轮廓度MAX,上表面平行度MAX,凸台平面度MAX,下表面轮廓度MAX,内螺柱轮廓度MAX,外螺柱轮廓度MAX,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,RawUp,up,up,up,up,up,up,up,up,RawDown,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,
20181029-164614,20181029-164657,NG,|下表面轮廓度 -6.140 超差|,42.76,,A117NoFin,LeftStation,SPC,-10.635,0.175,0.008,-6.140,0.022,5.359,SPC MIN,-10.635,-10.615,-0.005,-6.140,-0.025,5.135,SPC MAX,-10.452,-10.440,0.003,-5.950,0.022,5.359,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.635,0.175,0.008,-6.140,0.022,5.359,SPCMIN,-10.635,-10.615,-0.005,-6.140,-0.025,5.135,SPCMAX,-10.452,-10.440,0.003,-5.950,0.022,5.359,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.413,-10.516,-10.543,-10.493,-10.410,-10.418,-10.461,-10.444,RawDown,5.398,5.333,5.274,5.227,-6.056,-6.045,-5.961,0.061,0.055,0.046,0.058,0.035,-5.928,0.026,0.046,0.049,-5.903,0.063,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.413,2.524,2.428,2.370,2.386,2.398,2.368,2.346,RawDownGT,2.229,2.213,1.897,1.800,2.502,2.554,2.706,2.126,2.763,2.783,2.780,2.129,2.848,2.214,2.811,2.801,2.832,2.222,
20181029-164718,20181029-164801,NG,|上表面轮廓度 -10.750 超差|下表面轮廓度 -6.172 超差|,43.10,,A117NoFin,LeftStation,SPC,-10.750,0.182,0.004,-6.172,-0.009,5.301,SPC MIN,-10.750,-10.665,-0.002,-6.172,-0.038,5.071,SPC MAX,-10.481,-10.482,0.002,-6.017,-0.009,5.301,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.750,0.182,0.004,-6.172,-0.009,5.301,SPCMIN,-10.750,-10.665,-0.002,-6.172,-0.038,5.071,SPCMAX,-10.481,-10.482,0.002,-6.017,-0.009,5.301,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.432,-10.592,-10.498,-10.478,-10.373,-10.434,-10.420,-10.403,RawDown,5.399,5.348,5.299,5.229,-6.025,-5.992,-5.923,0.089,0.109,0.101,0.107,0.075,-5.941,0.049,0.094,0.102,-5.911,0.089,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.433,2.601,2.383,2.355,2.349,2.414,2.327,2.306,RawDownGT,2.230,2.228,1.922,1.802,2.533,2.607,2.744,2.154,2.817,2.838,2.829,2.169,2.835,2.237,2.860,2.854,2.824,2.248,
20181029-164834,20181029-164918,NG,|下表面轮廓度 -6.112 超差|,43.17,,A117NoFin,LeftStation,SPC,-10.683,0.156,0.008,-6.112,-0.003,5.314,SPC MIN,-10.683,-10.641,-0.006,-6.112,-0.049,5.124,SPC MAX,-10.487,-10.485,0.002,-5.977,-0.003,5.314,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.683,0.156,0.008,-6.112,-0.003,5.314,SPCMIN,-10.683,-10.641,-0.006,-6.112,-0.049,5.124,SPCMAX,-10.487,-10.485,0.002,-5.977,-0.003,5.314,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.483,-10.580,-10.571,-10.521,-10.451,-10.492,-10.480,-10.477,RawDown,5.332,5.288,5.228,5.228,-6.023,-6.026,-5.952,0.002,0.041,0.027,0.041,0.012,-5.979,-0.018,0.024,0.029,-5.947,0.016,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.484,2.589,2.456,2.398,2.427,2.472,2.387,2.379,RawDownGT,2.163,2.167,1.850,1.801,2.535,2.573,2.715,2.067,2.749,2.764,2.762,2.106,2.797,2.170,2.790,2.781,2.788,2.175,
20181029-164939,20181029-165023,NG,|下表面轮廓度 -6.108 超差|,43.24,,A117NoFin,LeftStation,SPC,-10.660,0.127,0.016,-6.108,-0.017,5.288,SPC MIN,-10.660,-10.623,-0.010,-6.108,-0.036,5.147,SPC MAX,-10.486,-10.497,0.007,-5.997,-0.017,5.288,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.660,0.127,0.016,-6.108,-0.017,5.288,SPCMIN,-10.660,-10.623,-0.010,-6.108,-0.036,5.147,SPCMAX,-10.486,-10.497,0.007,-5.997,-0.017,5.288,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.494,-10.553,-10.542,-10.488,-10.426,-10.452,-10.458,-10.421,RawDown,5.331,5.335,5.264,5.241,-6.011,-6.000,-5.930,0.045,0.066,0.058,0.082,0.068,-5.933,0.032,0.066,0.066,-5.945,0.027,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.494,2.561,2.427,2.365,2.402,2.432,2.365,2.323,RawDownGT,2.161,2.214,1.887,1.814,2.547,2.599,2.737,2.110,2.774,2.795,2.804,2.162,2.843,2.220,2.831,2.818,2.790,2.186,
20181029-165041,20181029-165124,NG,|下表面轮廓度 -6.122 超差|,43.10,,A117NoFin,LeftStation,SPC,-10.672,0.114,0.013,-6.122,-0.029,5.306,SPC MIN,-10.672,-10.610,-0.006,-6.122,-0.060,5.130,SPC MAX,-10.488,-10.496,0.006,-6.007,-0.029,5.306,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.672,0.114,0.013,-6.122,-0.029,5.306,SPCMIN,-10.672,-10.610,-0.006,-6.122,-0.060,5.130,SPCMAX,-10.488,-10.496,0.006,-6.007,-0.029,5.306,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.450,-10.536,-10.579,-10.560,-10.414,-10.433,-10.461,-10.467,RawDown,5.383,5.233,5.232,5.267,-6.002,-6.037,-5.954,0.054,0.063,0.043,0.050,0.006,-6.016,-0.046,0.030,0.062,-5.927,0.023,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.450,2.544,2.464,2.437,2.390,2.413,2.368,2.369,RawDownGT,2.214,2.113,1.854,1.840,2.556,2.562,2.713,2.119,2.771,2.780,2.771,2.100,2.760,2.142,2.796,2.814,2.808,2.182,
20181029-165142,20181029-165226,NG,|上表面轮廓度 -10.946 超差|上表面平行度 0.365 超差|下表面轮廓度 -6.276 超差|,43.20,,A117NoFin,LeftStation,SPC,-10.946,0.365,0.011,-6.276,-0.050,5.237,SPC MIN,-10.946,-10.874,-0.003,-6.276,-0.115,4.858,SPC MAX,-10.518,-10.508,0.009,-6.033,-0.050,5.237,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.946,0.365,0.011,-6.276,-0.050,5.237,SPCMIN,-10.946,-10.874,-0.003,-6.276,-0.115,4.858,SPCMAX,-10.518,-10.508,0.009,-6.033,-0.050,5.237,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.425,-10.538,-10.576,-10.480,-10.316,-10.377,-10.386,-10.341,RawDown,5.388,5.330,5.228,5.265,-5.935,-5.939,-5.811,0.143,0.218,0.215,0.223,0.132,-5.858,0.063,0.188,0.184,-5.849,0.114,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.426,2.546,2.461,2.356,2.292,2.357,2.293,2.244,RawDownGT,2.219,2.210,1.850,1.838,2.623,2.660,2.856,2.208,2.926,2.952,2.945,2.226,2.918,2.251,2.954,2.936,2.886,2.273,
20181029-165243,20181029-165326,NG,|上表面轮廓度 -10.812 超差|下表面轮廓度 -6.210 超差|,43.15,,A117NoFin,LeftStation,SPC,-10.812,0.249,0.005,-6.210,-0.032,5.299,SPC MIN,-10.812,-10.739,-0.003,-6.210,-0.080,5.008,SPC MAX,-10.514,-10.490,0.002,-5.994,-0.032,5.299,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.812,0.249,0.005,-6.210,-0.032,5.299,SPCMIN,-10.812,-10.739,-0.003,-6.210,-0.080,5.008,SPCMAX,-10.514,-10.490,0.002,-5.994,-0.032,5.299,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.502,-10.557,-10.535,-10.518,-10.451,-10.408,-10.347,-10.443,RawDown,5.311,5.292,5.285,5.240,-6.009,-5.929,-5.900,0.049,0.096,0.083,0.113,0.059,-5.906,-0.008,0.072,0.062,-5.945,0.000,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.503,2.565,2.420,2.394,2.427,2.388,2.254,2.346,RawDownGT,2.141,2.171,1.907,1.813,2.549,2.670,2.767,2.114,2.804,2.820,2.834,2.153,2.870,2.180,2.837,2.814,2.790,2.159,
20181029-165345,20181029-165428,NG,|上表面轮廓度 -10.778 超差|上表面平行度 0.262 超差|下表面轮廓度 -6.180 超差|,43.17,,A117NoFin,LeftStation,SPC,-10.778,0.262,0.005,-6.180,-0.030,5.313,SPC MIN,-10.778,-10.737,-0.002,-6.180,-0.107,5.033,SPC MAX,-10.493,-10.476,0.003,-6.039,-0.030,5.313,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.778,0.262,0.005,-6.180,-0.030,5.313,SPCMIN,-10.778,-10.737,-0.002,-6.180,-0.107,5.033,SPCMAX,-10.493,-10.476,0.003,-6.039,-0.030,5.313,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.417,-10.515,-10.582,-10.472,-10.422,-10.506,-10.461,-10.385,RawDown,5.389,5.332,5.228,5.266,-6.027,-5.995,-5.949,0.028,0.117,0.138,0.151,0.063,-5.887,0.067,0.148,0.118,-5.952,0.071,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.417,2.524,2.467,2.349,2.398,2.486,2.368,2.287,RawDownGT,2.220,2.212,1.851,1.839,2.531,2.604,2.718,2.093,2.825,2.875,2.872,2.157,2.889,2.255,2.914,2.870,2.783,2.230,
20181029-165444,20181029-165527,NG,|上表面轮廓度 -10.847 超差|上表面平行度 0.264 超差|下表面轮廓度 -6.196 超差|,42.87,,A117NoFin,LeftStation,SPC,-10.847,0.264,0.016,-6.196,-0.068,5.253,SPC MIN,-10.847,-10.765,-0.005,-6.196,-0.128,4.979,SPC MAX,-10.523,-10.501,0.011,-6.006,-0.068,5.253,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.847,0.264,0.016,-6.196,-0.068,5.253,SPCMIN,-10.847,-10.765,-0.005,-6.196,-0.128,4.979,SPCMAX,-10.523,-10.501,0.011,-6.006,-0.068,5.253,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.412,-10.543,-10.675,-10.431,-10.358,-10.448,-10.484,-10.355,RawDown,5.418,5.371,5.150,5.260,-5.986,-6.020,-5.893,0.071,0.166,0.198,0.190,0.090,-5.835,0.094,0.198,0.181,-5.846,0.110,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.413,2.552,2.560,2.308,2.334,2.428,2.391,2.257,RawDownGT,2.248,2.250,1.773,1.833,2.572,2.579,2.774,2.136,2.874,2.935,2.912,2.184,2.941,2.282,2.964,2.933,2.889,2.269,
20181029-165545,20181029-165629,NG,|上表面轮廓度 -11.097 超差|上表面平行度 0.535 超差|下表面轮廓度 -6.415 超差|,43.29,,A117NoFin,LeftStation,SPC,-11.097,0.535,0.006,-6.415,0.010,5.367,SPC MIN,-11.097,-10.951,-0.003,-6.415,-0.052,4.702,SPC MAX,-10.459,-10.416,0.003,-5.971,0.010,5.367,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-11.097,0.535,0.006,-6.415,0.010,5.367,SPCMIN,-11.097,-10.951,-0.003,-6.415,-0.052,4.702,SPCMAX,-10.459,-10.416,0.003,-5.971,0.010,5.367,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.453,-10.604,-10.511,-10.543,-10.348,-10.340,-10.338,-10.393,RawDown,5.373,5.300,5.314,5.195,-6.000,-5.931,-5.811,0.170,0.150,0.110,0.152,0.142,-5.919,-0.014,0.063,0.072,-5.890,0.035,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.454,2.613,2.396,2.420,2.324,2.320,2.245,2.295,RawDownGT,2.203,2.179,1.936,1.768,2.558,2.668,2.856,2.235,2.858,2.847,2.873,2.236,2.857,2.174,2.828,2.824,2.845,2.194,
