StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPCMIN,上表面轮廓度MIN,上表面平行度MIN,凸台平面度MIN,下表面轮廓度MIN,内螺柱轮廓度MIN,外螺柱轮廓度MIN,SPCMAX,上表面轮廓度MAX,上表面平行度MAX,凸台平面度MAX,下表面轮廓度MAX,内螺柱轮廓度MAX,外螺柱轮廓度MAX,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPCMIN,K-MIN,L-MIN,J-MIN,M-MIN,O-MIN,N-MIN,SPCMAX,K-MAX,L-MAX,J-MAX,M-MAX,O-MAX,N-MAX,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,RawUp,up,up,up,up,up,up,up,up,RawDown,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,
20181104-152605,20181104-152649,NG,下表面轮廓度 -6.179 超差|,44.44,,VaporChamber,LeftStation-A117VC,SPC,-10.688,0.206,0.005,-6.179,0.050,5.406,SPC MIN,-10.688,-10.633,-0.004,-6.179,0.007,5.112,SPC MAX,-10.411,-10.427,0.001,-5.997,0.050,5.406,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.688,0.206,0.005,-6.179,0.050,5.406,SPCMIN,-10.688,-10.633,-0.004,-6.179,0.007,5.112,SPCMAX,-10.411,-10.427,0.001,-5.997,0.050,5.406,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.438,-10.492,-10.504,-10.519,-10.349,-10.366,-10.380,-10.394,RawDown,5.435,5.328,5.325,5.308,-6.011,-5.987,-5.931,0.142,0.074,0.051,0.066,0.112,-5.976,0.024,0.038,0.044,-5.944,0.071,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.461,2.566,2.480,2.444,2.363,2.406,2.362,2.350,RawDownGT,2.295,2.210,1.913,1.873,1.822,1.862,2.013,2.215,2.071,2.076,2.068,2.199,2.078,2.218,2.092,2.093,2.096,2.252,
20181104-152654,20181104-152738,NG,下表面轮廓度 -6.176 超差|,44.04,,VaporChamber,LeftStation-A117VC,SPC,-10.682,0.203,0.005,-6.176,0.045,5.405,SPC MIN,-10.682,-10.628,-0.004,-6.176,0.004,5.116,SPC MAX,-10.412,-10.425,0.001,-5.996,0.045,5.405,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.682,0.203,0.005,-6.176,0.045,5.405,SPCMIN,-10.682,-10.628,-0.004,-6.176,0.004,5.116,SPCMAX,-10.412,-10.425,0.001,-5.996,0.045,5.405,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.438,-10.490,-10.505,-10.525,-10.355,-10.368,-10.383,-10.398,RawDown,5.430,5.315,5.321,5.308,-6.013,-5.992,-5.936,0.128,0.068,0.045,0.060,0.099,-5.985,0.014,0.032,0.039,-5.948,0.072,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.461,2.564,2.482,2.451,2.369,2.408,2.365,2.355,RawDownGT,2.289,2.198,1.909,1.873,1.821,1.857,2.008,2.201,2.065,2.070,2.062,2.186,2.069,2.208,2.085,2.088,2.092,2.253,
20181104-152740,20181104-152824,NG,下表面轮廓度 -6.177 超差|,44.02,,VaporChamber,LeftStation-A117VC,SPC,-10.684,0.201,0.006,-6.177,0.052,5.405,SPC MIN,-10.684,-10.628,-0.004,-6.177,-0.009,5.120,SPC MAX,-10.411,-10.427,0.001,-5.996,0.052,5.405,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.684,0.201,0.006,-6.177,0.052,5.405,SPCMIN,-10.684,-10.628,-0.004,-6.177,-0.009,5.120,SPCMAX,-10.411,-10.427,0.001,-5.996,0.052,5.405,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.438,-10.491,-10.504,-10.524,-10.351,-10.366,-10.379,-10.396,RawDown,5.432,5.318,5.316,5.313,-6.013,-5.990,-5.935,0.128,0.071,0.047,0.063,0.102,-5.982,0.004,0.035,0.042,-5.946,0.081,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.461,2.565,2.480,2.450,2.365,2.406,2.362,2.353,RawDownGT,2.292,2.200,1.904,1.878,1.821,1.859,2.009,2.202,2.068,2.072,2.065,2.189,2.072,2.199,2.088,2.090,2.094,2.262,
20181104-152828,20181104-152912,NG,下表面轮廓度 -6.176 超差|,44.10,,VaporChamber,LeftStation-A117VC,SPC,-10.683,0.200,0.004,-6.176,0.048,5.402,SPC MIN,-10.683,-10.627,-0.004,-6.176,-0.008,5.129,SPC MAX,-10.411,-10.427,0.001,-5.999,0.048,5.402,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.683,0.200,0.004,-6.176,0.048,5.402,SPCMIN,-10.683,-10.627,-0.004,-6.176,-0.008,5.129,SPCMAX,-10.411,-10.427,0.001,-5.999,0.048,5.402,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.437,-10.491,-10.503,-10.520,-10.350,-10.364,-10.380,-10.394,RawDown,5.432,5.320,5.315,5.322,-6.012,-5.988,-5.933,0.132,0.072,0.049,0.064,0.108,-5.979,0.007,0.036,0.044,-5.946,0.080,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.460,2.565,2.480,2.445,2.364,2.404,2.363,2.350,RawDownGT,2.292,2.202,1.903,1.887,1.822,1.860,2.011,2.206,2.069,2.075,2.066,2.195,2.075,2.201,2.090,2.092,2.093,2.261,
20181104-152914,20181104-152959,NG,下表面轮廓度 -6.173 超差|,44.32,,VaporChamber,LeftStation-A117VC,SPC,-10.681,0.195,0.005,-6.173,0.043,5.401,SPC MIN,-10.681,-10.624,-0.004,-6.173,-0.009,5.129,SPC MAX,-10.411,-10.429,0.001,-5.998,0.043,5.401,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.681,0.195,0.005,-6.173,0.043,5.401,SPCMIN,-10.681,-10.624,-0.004,-6.173,-0.009,5.129,SPCMAX,-10.411,-10.429,0.001,-5.998,0.043,5.401,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.439,-10.495,-10.505,-10.516,-10.350,-10.368,-10.380,-10.393,RawDown,5.432,5.320,5.313,5.315,-6.013,-5.989,-5.934,0.129,0.072,0.050,0.065,0.112,-5.977,0.009,0.038,0.045,-5.945,0.075,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.462,2.569,2.482,2.442,2.364,2.408,2.362,2.349,RawDownGT,2.292,2.202,1.901,1.880,1.820,1.859,2.010,2.202,2.069,2.075,2.067,2.199,2.077,2.204,2.092,2.093,2.094,2.256,
20181104-153002,20181104-153046,NG,下表面轮廓度 -6.173 超差|,44.40,,VaporChamber,LeftStation-A117VC,SPC,-10.681,0.200,0.007,-6.173,0.048,5.402,SPC MIN,-10.681,-10.631,-0.005,-6.173,-0.009,5.128,SPC MAX,-10.417,-10.431,0.002,-5.996,0.048,5.402,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.681,0.200,0.007,-6.173,0.048,5.402,SPCMIN,-10.681,-10.631,-0.005,-6.173,-0.009,5.128,SPCMAX,-10.417,-10.431,0.002,-5.996,0.048,5.402,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.439,-10.493,-10.506,-10.520,-10.355,-10.371,-10.385,-10.394,RawDown,5.434,5.320,5.313,5.316,-6.012,-5.986,-5.930,0.128,0.074,0.051,0.068,0.107,-5.975,0.012,0.041,0.047,-5.942,0.082,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.462,2.567,2.483,2.445,2.369,2.411,2.368,2.350,RawDownGT,2.293,2.202,1.901,1.881,1.822,1.862,2.014,2.202,2.071,2.076,2.070,2.194,2.079,2.206,2.094,2.096,2.097,2.263,
20181104-153052,20181104-153136,NG,下表面轮廓度 -6.175 超差|,44.44,,VaporChamber,LeftStation-A117VC,SPC,-10.681,0.195,0.006,-6.175,0.050,5.400,SPC MIN,-10.681,-10.625,-0.005,-6.175,-0.007,5.148,SPC MAX,-10.412,-10.430,0.002,-5.998,0.050,5.400,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.681,0.195,0.006,-6.175,0.050,5.400,SPCMIN,-10.681,-10.625,-0.005,-6.175,-0.007,5.148,SPCMAX,-10.412,-10.430,0.002,-5.998,0.050,5.400,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.441,-10.493,-10.505,-10.521,-10.352,-10.368,-10.379,-10.394,RawDown,5.430,5.314,5.311,5.337,-6.014,-5.990,-5.934,0.139,0.072,0.048,0.064,0.111,-5.978,0.010,0.038,0.044,-5.946,0.079,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.464,2.567,2.482,2.446,2.366,2.408,2.362,2.350,RawDownGT,2.289,2.196,1.899,1.902,1.819,1.858,2.010,2.212,2.069,2.074,2.066,2.198,2.076,2.204,2.091,2.092,2.094,2.260,
20181104-153139,20181104-153224,NG,下表面轮廓度 -6.173 超差|,44.60,,VaporChamber,LeftStation-A117VC,SPC,-10.682,0.200,0.007,-6.173,0.046,5.400,SPC MIN,-10.682,-10.628,-0.005,-6.173,-0.012,5.124,SPC MAX,-10.414,-10.428,0.002,-5.996,0.046,5.400,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.682,0.200,0.007,-6.173,0.046,5.400,SPCMIN,-10.682,-10.628,-0.005,-6.173,-0.012,5.124,SPCMAX,-10.414,-10.428,0.002,-5.996,0.046,5.400,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.437,-10.497,-10.507,-10.516,-10.354,-10.368,-10.381,-10.395,RawDown,5.429,5.333,5.312,5.308,-6.015,-5.990,-5.934,0.127,0.072,0.049,0.065,0.102,-5.978,0.008,0.040,0.044,-5.945,0.078,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.460,2.571,2.484,2.442,2.368,2.408,2.364,2.352,RawDownGT,2.289,2.215,1.900,1.873,1.819,1.859,2.010,2.201,2.069,2.074,2.067,2.189,2.076,2.202,2.093,2.093,2.095,2.259,
20181104-153227,20181104-153311,NG,下表面轮廓度 -6.181 超差|,44.41,,VaporChamber,LeftStation-A117VC,SPC,-10.687,0.204,0.005,-6.181,0.047,5.400,SPC MIN,-10.687,-10.632,-0.004,-6.181,-0.007,5.114,SPC MAX,-10.412,-10.428,0.001,-5.998,0.047,5.400,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.687,0.204,0.005,-6.181,0.047,5.400,SPCMIN,-10.687,-10.632,-0.004,-6.181,-0.007,5.114,SPCMAX,-10.412,-10.428,0.001,-5.998,0.047,5.400,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.436,-10.493,-10.504,-10.517,-10.351,-10.369,-10.383,-10.396,RawDown,5.430,5.337,5.311,5.308,-6.015,-5.991,-5.934,0.127,0.073,0.050,0.066,0.096,-5.978,0.009,0.037,0.045,-5.945,0.079,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.459,2.567,2.481,2.443,2.365,2.409,2.365,2.353,RawDownGT,2.290,2.219,1.899,1.873,1.819,1.857,2.010,2.201,2.070,2.075,2.068,2.183,2.077,2.204,2.091,2.093,2.095,2.260,
20181104-153315,20181104-153359,NG,下表面轮廓度 -6.183 超差|,44.40,,VaporChamber,LeftStation-A117VC,SPC,-10.692,0.204,0.007,-6.183,0.049,5.400,SPC MIN,-10.692,-10.634,-0.005,-6.183,-0.001,5.112,SPC MAX,-10.414,-10.430,0.002,-5.998,0.049,5.400,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.692,0.204,0.007,-6.183,0.049,5.400,SPCMIN,-10.692,-10.634,-0.005,-6.183,-0.001,5.112,SPCMAX,-10.414,-10.430,0.002,-5.998,0.049,5.400,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.438,-10.493,-10.504,-10.518,-10.351,-10.370,-10.384,-10.396,RawDown,5.431,5.333,5.315,5.312,-6.013,-5.989,-5.932,0.123,0.074,0.050,0.067,0.102,-5.977,0.014,0.037,0.046,-5.943,0.081,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.461,2.567,2.480,2.444,2.365,2.410,2.366,2.353,RawDownGT,2.291,2.216,1.903,1.877,1.821,1.860,2.012,2.197,2.071,2.075,2.069,2.189,2.078,2.209,2.091,2.095,2.096,2.262,
