20180722-181342,20180722-181427,NG,,45.04,,A117WithFin,RightStation,0.000,0.000,67.947,1.016,RawUp,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,RawDown,0.098,0.098,0.098,0.098,0.098,0.100,0.099,0.099,0.100,
20180722-181501,20180722-181542,NG,,40.97,,A117WithFin,RightStation,0.000,0.000,67.947,1.013,RawUp,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,RawDown,0.098,0.098,0.098,0.098,0.098,0.101,0.100,0.102,0.103,
20180722-181623,20180722-181653,NG,,29.88,,A117WithFin,RightStation,0.000,0.000,67.946,1.016,RawUp,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,RawDown,0.098,0.098,0.098,0.098,0.098,0.100,0.100,0.100,0.101,
20180722-181730,20180722-181759,NG,,28.55,,A117WithFin,RightStation,0.000,0.000,67.946,1.013,RawUp,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,RawDown,0.098,0.098,0.098,0.098,0.098,0.100,0.099,0.102,0.103,
20180722-181801,20180722-181830,NG,,28.56,,A117WithFin,RightStation,0.000,0.000,67.946,1.014,RawUp,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,RawDown,0.098,0.098,0.098,0.098,0.098,0.100,0.099,0.102,0.102,
20180722-182012,20180722-182041,OK,,28.57,,A117WithFin,RightStation,0.180,0.016,70.417,-0.064,RawUp,2.066,1.747,1.788,2.008,2.056,2.002,1.791,2.054,RawDown,0.505,0.529,0.483,0.450,0.478,1.571,1.565,1.473,1.459,
20180722-182123,20180722-182151,OK,,28.57,,A117WithFin,RightStation,0.180,0.017,70.417,-0.063,RawUp,2.065,1.747,1.787,2.007,2.055,2.003,1.791,2.054,RawDown,0.507,0.529,0.484,0.451,0.478,1.571,1.565,1.473,1.459,
20180722-182500,20180722-182534,OK,,34.34,,A117WithFin,RightStation,0.176,0.017,70.428,-0.063,RawUp,2.276,1.958,1.989,2.209,2.263,2.211,1.998,2.259,RawDown,0.505,0.529,0.485,0.452,0.478,1.570,1.564,1.474,1.460,
20180722-182535,20180722-182603,OK,,28.57,,A117WithFin,RightStation,0.175,0.018,70.431,-0.062,RawUp,2.276,1.959,1.988,2.208,2.264,2.212,2.000,2.260,RawDown,0.508,0.531,0.488,0.455,0.480,1.573,1.567,1.478,1.464,
20180722-182604,20180722-182632,OK,,28.57,,A117WithFin,RightStation,0.172,0.016,70.431,-0.060,RawUp,2.279,1.963,1.987,2.206,2.266,2.214,2.003,2.261,RawDown,0.504,0.527,0.485,0.453,0.478,1.568,1.562,1.475,1.462,
20180722-182633,20180722-182702,OK,,28.56,,A117WithFin,RightStation,0.173,0.017,70.430,-0.061,RawUp,2.278,1.960,1.988,2.209,2.266,2.212,2.001,2.260,RawDown,0.505,0.528,0.485,0.452,0.478,1.568,1.563,1.476,1.462,
20180722-182702,20180722-182731,OK,,28.58,,A117WithFin,RightStation,0.172,0.017,70.434,-0.062,RawUp,2.281,1.963,1.985,2.205,2.267,2.214,2.002,2.260,RawDown,0.505,0.528,0.486,0.453,0.478,1.570,1.563,1.479,1.465,
20180722-182731,20180722-182800,OK,,28.57,,A117WithFin,RightStation,0.172,0.017,70.436,-0.062,RawUp,2.282,1.965,1.987,2.206,2.269,2.215,2.002,2.260,RawDown,0.506,0.529,0.487,0.455,0.480,1.572,1.566,1.481,1.467,
20180722-182800,20180722-182829,OK,,28.57,,A117WithFin,RightStation,0.175,0.017,70.434,-0.063,RawUp,2.281,1.964,1.987,2.206,2.267,2.215,1.999,2.258,RawDown,0.506,0.529,0.486,0.454,0.479,1.572,1.566,1.481,1.467,
20180722-182829,20180722-182858,OK,,28.58,,A117WithFin,RightStation,0.175,0.017,70.434,-0.064,RawUp,2.280,1.965,1.989,2.210,2.268,2.215,2.000,2.261,RawDown,0.507,0.531,0.487,0.454,0.480,1.573,1.567,1.481,1.467,
20180722-182859,20180722-182929,OK,,30.58,,A117WithFin,RightStation,0.173,0.017,70.439,-0.063,RawUp,2.284,1.968,1.990,2.210,2.271,2.217,2.003,2.263,RawDown,0.507,0.530,0.487,0.455,0.480,1.573,1.567,1.483,1.469,
20180722-182930,20180722-183039,OK,,68.92,,A117WithFin,RightStation,0.176,0.017,70.439,-0.062,RawUp,2.284,1.969,1.988,2.208,2.271,2.218,1.999,2.262,RawDown,0.507,0.530,0.488,0.455,0.480,1.572,1.565,1.482,1.469,
20180722-183043,20180722-183112,OK,,28.57,,A117WithFin,RightStation,0.182,0.017,70.426,-0.067,RawUp,2.270,1.957,1.994,2.219,2.266,2.211,1.998,2.264,RawDown,0.510,0.534,0.487,0.453,0.482,1.579,1.572,1.479,1.465,
20180722-183113,20180722-183141,OK,,28.58,,A117WithFin,RightStation,0.175,0.017,70.436,-0.064,RawUp,2.280,1.970,1.989,2.210,2.271,2.217,2.001,2.263,RawDown,0.509,0.532,0.489,0.456,0.482,1.575,1.569,1.483,1.470,
20180722-183142,20180722-183210,OK,,28.58,,A117WithFin,RightStation,0.176,0.017,70.436,-0.064,RawUp,2.282,1.970,1.987,2.209,2.272,2.219,2.001,2.263,RawDown,0.506,0.530,0.487,0.454,0.479,1.573,1.566,1.482,1.468,
