StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,AB-fin up surface profile,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPEC,SPEC-AB,UpLimit-AB,DownLimit-AB,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,RawUp,up,up,up,up,up,up,up,up,RawDown,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,
20180912-200915,20180912-200955,NG,|上表面轮廓度 -70.909 超差|下表面轮廓度 -5.972 超差|外螺柱轮廓度 5.675 超差|,39.36,,A117WithFin,RightStation,SPC,-70.909,0.004,-5.972,0.149,5.675,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.425,-71.376,-71.287,-71.336,-71.459,-71.455,-71.408,-71.425,RawDown,-0.056,-0.121,-0.149,-0.091,-0.106,0.076,0.009,-0.057,-0.032,-5.965,-6.000,-6.087,-6.077,-6.031,5.528,5.289,5.316,5.397,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.559,1.807,1.731,2.483,2.405,2.128,2.089,2.380,RawDownGT,3.611,3.531,3.608,3.681,3.606,3.695,3.596,3.754,3.810,3.771,3.688,3.935,3.993,3.847,3.800,4.172,4.146,3.616,
20180912-201013,20180912-201052,NG,|上表面轮廓度 -71.230 超差|下表面轮廓度 -5.984 超差|内螺柱轮廓度 0.183 超差|外螺柱轮廓度 5.576 超差|,39.41,,A117WithFin,RightStation,SPC,-71.230,0.002,-5.984,0.183,5.576,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.487,-71.365,-71.328,-71.341,-71.503,-71.491,-71.438,-71.433,RawDown,-0.056,-0.074,-0.075,-0.056,-0.064,0.090,0.098,0.047,0.020,-5.971,-5.921,-6.002,-6.019,-5.985,5.464,5.348,5.359,5.478,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.621,1.796,1.772,2.488,2.449,2.164,2.119,2.388,RawDownGT,3.611,3.578,3.682,3.716,3.648,3.709,3.686,3.858,3.862,3.765,3.767,4.020,4.051,3.893,3.736,4.231,4.189,3.697,
20180912-201116,20180912-201156,NG,|上表面轮廓度 -71.103 超差|下表面轮廓度 -5.948 超差|内螺柱轮廓度 0.164 超差|外螺柱轮廓度 5.602 超差|,39.39,,A117WithFin,RightStation,SPC,-71.103,0.004,-5.948,0.164,5.602,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.413,-71.483,-71.375,-71.341,-71.454,-71.508,-71.471,-71.438,RawDown,-0.133,-0.168,-0.177,-0.146,-0.160,0.019,-0.017,-0.107,-0.097,-6.048,-6.035,-6.082,-6.085,-6.077,5.469,5.350,5.336,5.391,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.547,1.914,1.819,2.488,2.400,2.180,2.152,2.393,RawDownGT,3.534,3.485,3.580,3.626,3.552,3.638,3.571,3.704,3.745,3.688,3.653,3.940,3.985,3.801,3.741,4.233,4.166,3.610,
20180912-201217,20180912-201255,NG,|上表面轮廓度 -71.052 超差|下表面轮廓度 -6.019 超差|内螺柱轮廓度 0.255 超差|外螺柱轮廓度 5.694 超差|,37.91,F6R8346004AK93WD3,A117WithFin,RightStation,SPC,-71.052,0.012,-6.019,0.255,5.694,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.939,-71.409,-71.336,-71.276,-71.717,-71.598,-71.464,-71.435,RawDown,-0.236,-0.155,-0.169,-0.234,-0.205,-0.192,0.044,0.127,-0.179,-6.338,-5.955,-6.014,-6.173,-6.073,5.046,5.335,5.373,5.474,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,3.073,1.840,1.780,2.423,2.663,2.270,2.145,2.390,RawDownGT,3.431,3.497,3.588,3.538,3.507,3.427,3.631,3.938,3.663,3.398,3.733,4.008,3.897,3.805,3.318,4.218,4.203,3.693,
20180912-201354,20180912-201432,NG,|上表面轮廓度 -70.936 超差|下表面轮廓度 -5.878 超差|内螺柱轮廓度 0.175 超差|外螺柱轮廓度 5.640 超差|,38.11,F6R834600AMK93WD8,A117WithFin,RightStation,SPC,-70.936,0.016,-5.878,0.175,5.640,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.390,-71.417,-71.282,-71.341,-71.448,-71.466,-71.427,-71.433,RawDown,-0.148,-0.176,-0.195,-0.178,-0.189,0.048,-0.027,-0.091,-0.054,-6.012,-6.056,-6.077,-6.077,-6.094,5.496,5.286,5.312,5.307,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.524,1.848,1.726,2.488,2.394,2.138,2.108,2.388,RawDownGT,3.519,3.477,3.562,3.594,3.523,3.667,3.560,3.720,3.788,3.724,3.632,3.945,3.993,3.784,3.768,4.169,4.142,3.526,
20180912-201449,20180912-201527,NG,|上表面轮廓度 -71.067 超差|下表面轮廓度 -6.139 超差|内螺柱轮廓度 0.204 超差|外螺柱轮廓度 5.627 超差|,38.06,F6R8346002KK93WD0,A117WithFin,RightStation,SPC,-71.067,0.015,-6.139,0.204,5.627,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.430,-71.451,-71.349,-71.310,-71.474,-71.495,-71.425,-71.415,RawDown,-0.085,-0.126,-0.095,-0.051,-0.104,0.047,0.031,-0.055,-0.047,-6.012,-5.979,-6.045,-6.057,-6.028,5.440,5.339,5.330,5.415,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.564,1.882,1.793,2.457,2.420,2.168,2.106,2.370,RawDownGT,3.582,3.527,3.662,3.721,3.608,3.666,3.618,3.756,3.795,3.724,3.709,3.977,4.013,3.850,3.712,4.222,4.160,3.634,
20180912-201545,20180912-201625,NG,|上表面轮廓度 -70.945 超差|下表面轮廓度 -5.980 超差|内螺柱轮廓度 0.204 超差|外螺柱轮廓度 5.721 超差|,39.41,,A117WithFin,RightStation,SPC,-70.945,0.006,-5.980,0.204,5.721,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.411,-71.336,-71.283,-71.335,-71.434,-71.425,-71.411,-71.417,RawDown,-0.088,-0.138,-0.158,-0.120,-0.127,0.068,0.024,0.002,-0.029,-6.034,-5.973,-5.983,-6.063,-6.022,5.421,5.368,5.399,5.407,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.545,1.767,1.727,2.482,2.380,2.097,2.093,2.372,RawDownGT,3.579,3.514,3.599,3.652,3.585,3.687,3.612,3.813,3.813,3.702,3.715,4.039,4.007,3.856,3.693,4.251,4.229,3.626,
20180912-201649,20180912-201727,NG,|上表面轮廓度 -70.909 超差|下表面轮廓度 -5.983 超差|内螺柱轮廓度 0.200 超差|外螺柱轮廓度 5.730 超差|,37.91,F6R8346002AK93WD9,A117WithFin,RightStation,SPC,-70.909,0.010,-5.983,0.200,5.730,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.378,-71.329,-71.392,-71.296,-71.478,-71.474,-71.447,-71.427,RawDown,-0.095,-0.172,-0.202,-0.146,-0.157,0.014,0.009,-0.070,-0.065,-6.028,-6.015,-6.068,-6.078,-6.045,5.395,5.292,5.274,5.373,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.512,1.760,1.836,2.443,2.424,2.147,2.129,2.382,RawDownGT,3.572,3.481,3.555,3.626,3.555,3.633,3.597,3.741,3.777,3.708,3.673,3.954,3.992,3.833,3.667,4.175,4.104,3.592,
20180912-201753,20180912-201831,NG,|上表面轮廓度 -70.955 超差|下表面轮廓度 -6.017 超差|外螺柱轮廓度 5.732 超差|,37.92,F6R8342004CK93WD5,A117WithFin,RightStation,SPC,-70.955,0.025,-6.017,0.149,5.732,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.427,-71.343,-71.277,-71.340,-71.439,-71.425,-71.391,-71.414,RawDown,-0.057,-0.036,-0.074,-0.117,-0.090,0.052,0.004,0.055,-0.011,-5.984,-6.041,-6.044,-6.000,-6.009,5.441,5.379,5.370,5.339,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.561,1.774,1.721,2.487,2.385,2.098,2.073,2.369,RawDownGT,3.610,3.617,3.683,3.655,3.622,3.671,3.591,3.866,3.831,3.752,3.647,3.978,4.070,3.869,3.713,4.262,4.200,3.558,
20180912-201849,20180912-201927,NG,|上表面轮廓度 -71.092 超差|下表面轮廓度 -5.901 超差|外螺柱轮廓度 5.585 超差|,37.91,F6R8346002MK93WDY,A117WithFin,RightStation,SPC,-71.092,0.005,-5.901,0.141,5.585,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.382,-71.462,-71.351,-71.323,-71.451,-71.475,-71.453,-71.441,RawDown,-0.129,-0.133,-0.150,-0.157,-0.145,0.021,-0.011,-0.083,-0.073,-6.034,-6.042,-6.031,-6.038,-6.036,5.438,5.340,5.324,5.348,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.516,1.893,1.795,2.470,2.397,2.147,2.134,2.396,RawDownGT,3.538,3.519,3.607,3.615,3.567,3.640,3.577,3.728,3.769,3.702,3.646,3.991,4.032,3.842,3.710,4.223,4.154,3.567,
