StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,AB-fin up surface profile,J-pedestal flatness,O-inner standoff profile,SPEC,SPEC-AB,UpLimit-AB,DownLimit-AB,SPEC-J,UpLimit-J,DownLimit-J,SPEC-O,UpLimit-O,DownLimit-O,RawUp,up,up,up,up,RawDown,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,RawUpSTATUS,up,up,up,up,RawDownSTATUS,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,RawUpGT,up,up,up,up,RawDownGT,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,
20180917-182616,20180917-182643,NG,|上表面轮廓度 -66.090 超差|,26.34,,A117WithFin,RightStation,SPC,-66.090,0.004,0.004,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-68.666,-68.660,-68.646,-68.641,RawDown,-2.571,-2.533,-2.506,-2.541,-2.534,-2.566,-2.529,-2.503,-2.538,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,-0.006,-0.006,-0.006,-0.006,RawDownGT,0.002,0.005,0.005,0.006,0.007,0.008,0.009,0.009,0.009,
20180917-182655,20180917-182722,OK,,26.33,,A117WithFin,RightStation,SPC,-70.514,0.003,-0.003,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.503,-70.504,-70.507,-70.502,RawDown,0.006,0.008,0.008,0.006,0.010,0.005,0.005,0.005,0.004,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,1.832,1.838,1.855,1.856,RawDownGT,2.580,2.546,2.519,2.553,2.552,2.579,2.543,2.517,2.551,
20180917-182755,20180917-182822,OK,,26.34,,A117WithFin,RightStation,SPC,-70.516,0.004,-0.004,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.503,-70.504,-70.506,-70.502,RawDown,0.007,0.008,0.010,0.008,0.012,0.007,0.007,0.007,0.005,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,2.832,2.838,2.854,2.855,RawDownGT,2.581,2.546,2.521,2.555,2.553,2.580,2.545,2.518,2.552,
20180917-183049,20180917-183116,OK,,26.93,,A117WithFin,RightStation,SPC,-70.508,0.002,-0.003,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.502,-70.505,-70.504,-70.501,RawDown,0.001,0.002,0.001,0.000,0.003,0.000,0.000,-0.001,-0.002,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,2.832,2.838,2.854,2.854,RawDownGT,2.579,2.545,2.518,2.552,2.550,2.578,2.542,2.516,2.550,
20180917-193014,20180917-193040,OK,,26.53,,A117WithFin,RightStation,SPC,-70.509,0.002,-0.002,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.502,-70.504,-70.503,-70.501,RawDown,0.003,0.004,0.003,0.003,0.005,0.001,0.002,0.002,0.001,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,2.846,2.848,2.896,2.894,RawDownGT,2.571,2.537,2.496,2.529,2.535,2.569,2.536,2.495,2.527,
20180917-193059,20180917-193125,OK,,26.55,,A117WithFin,RightStation,SPC,-70.509,0.002,-0.003,SPEC,-70.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.150,-0.15,RawUp,-70.504,-70.504,-70.504,-70.501,RawDown,0.004,0.005,0.004,0.005,0.006,0.002,0.003,0.003,0.001,RawUpSTATUS,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,RawUpGT,2.847,2.848,2.897,2.894,RawDownGT,2.571,2.538,2.497,2.531,2.535,2.569,2.536,2.495,2.528,
20180917-193326,20180917-193443,ERROR,GeometryCalcError,76.36,,A117NoFin,RightStation,SPC,0.000,0.003,-6.000,0.000,0.000,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-8.663,-8.522,-8.522,-8.663,-8.631,-8.558,-8.558,-8.631,RawDown,-2.556,-2.521,-2.479,-2.512,-2.514,-2.655,-2.582,-2.495,-2.567,-8.582,-8.475,-8.312,-8.419,-8.447,2.639,2.876,2.998,2.761,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,RawDownGT,0.012,0.013,0.013,0.014,0.015,0.097,0.097,0.097,0.097,0.019,0.019,0.019,0.019,0.019,0.097,0.097,0.097,0.097,
20180917-193515,20180917-193631,ERROR,GeometryCalcError,76.06,,A117NoFin,RightStation,SPC,0.000,0.005,-6.103,0.000,0.000,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.536,-10.452,-10.344,-10.488,-10.369,-10.346,-10.312,-10.368,RawDown,0.014,0.012,0.005,0.014,0.014,-0.151,-0.082,0.025,0.057,-6.005,-6.025,-6.047,-6.096,-5.978,2.640,2.876,2.999,2.761,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.864,1.922,1.814,1.817,1.730,1.779,1.745,1.729,RawDownGT,2.581,2.545,2.497,2.540,2.543,2.600,2.597,2.617,2.722,2.595,2.469,2.284,2.341,2.487,0.098,0.097,0.097,0.097,
20180917-193645,20180917-193802,ERROR,GeometryCalcError,76.64,,A117NoFin,RightStation,SPC,0.000,0.003,-6.218,0.000,0.000,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.478,-10.473,-10.336,-10.456,-10.435,-10.381,-10.326,-10.420,RawDown,-0.002,0.013,0.055,0.035,0.028,-0.045,-0.038,0.050,0.024,-6.037,-6.007,-5.971,-6.079,-5.959,5.244,5.232,5.339,5.250,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.806,1.943,1.806,1.784,1.796,1.814,1.760,1.781,RawDownGT,2.565,2.547,2.547,2.562,2.557,2.707,2.641,2.642,2.689,2.563,2.487,2.360,2.358,2.507,2.702,2.453,2.437,2.586,
20180917-194714,20180917-194830,NG,|下表面轮廓度 -6.219 超差|外螺柱轮廓度 5.062 超差|,75.89,,A117NoFin,RightStation,SPC,-10.639,0.221,0.005,-6.219,-0.040,5.062,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.477,-10.473,-10.338,-10.455,-10.435,-10.381,-10.326,-10.418,RawDown,-0.004,0.011,0.053,0.033,0.027,-0.044,-0.039,0.047,0.024,-6.042,-6.009,-5.975,-6.084,-5.960,5.242,5.228,5.334,5.245,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.806,1.943,1.808,1.784,1.796,1.814,1.760,1.779,RawDownGT,2.564,2.545,2.545,2.559,2.556,2.708,2.640,2.639,2.688,2.559,2.485,2.356,2.353,2.505,2.700,2.449,2.432,2.580,
