StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,RawUp,up,up,up,up,up,up,up,up,RawDown,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,
20180918-201634,20180918-201721,NG,|下表面轮廓度 -6.160 超差|外螺柱轮廓度 5.074 超差|,47.03,,A117NoFin,RightStation,SPC,-10.593,0.115,0.008,-6.160,-0.094,5.074,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.467,-10.428,-10.417,-10.490,-10.470,-10.399,-10.383,-10.466,RawDown,0.039,0.040,0.068,0.063,0.045,-0.045,-0.051,0.000,-0.017,-5.992,-5.991,-6.010,-6.008,-5.955,5.286,5.258,5.249,5.242,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.792,1.898,1.879,1.806,1.826,1.830,1.809,1.818,RawDownGT,2.598,2.565,2.556,2.583,2.568,2.702,2.626,2.595,2.648,2.597,2.498,2.326,2.427,2.507,2.738,2.487,2.359,2.576,
20180918-201740,20180918-201827,NG,|上表面轮廓度 -10.936 超差|上表面平行度 0.478 超差|下表面轮廓度 -6.325 超差|外螺柱轮廓度 4.758 超差|,47.03,,A117NoFin,RightStation,SPC,-10.936,0.478,0.006,-6.325,-0.079,4.758,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.532,-10.581,-10.443,-10.665,-10.476,-10.464,-10.445,-10.526,RawDown,-0.045,-0.078,-0.014,0.030,-0.026,-0.110,-0.177,-0.032,0.009,-5.999,-6.095,-6.010,-6.044,-5.933,5.198,5.114,5.221,5.086,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.857,2.051,1.905,1.982,1.832,1.895,1.871,1.878,RawDownGT,2.513,2.448,2.473,2.550,2.497,2.638,2.500,2.563,2.674,2.590,2.394,2.325,2.391,2.529,2.650,2.343,2.330,2.419,
20180918-201858,20180918-201945,NG,|下表面轮廓度 -6.150 超差|,47.03,,A117NoFin,RightStation,SPC,-10.465,0.056,0.003,-6.150,-0.064,5.215,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.470,-10.522,-10.503,-10.474,-10.510,-10.509,-10.515,-10.513,RawDown,0.015,0.013,0.004,0.003,0.006,-0.038,-0.027,-0.058,-0.066,-6.025,-6.047,-6.179,-6.164,-6.061,5.267,5.176,5.191,5.271,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.795,1.992,1.965,1.790,1.866,1.940,1.941,1.865,RawDownGT,2.573,2.539,2.491,2.523,2.529,2.709,2.650,2.537,2.599,2.564,2.442,2.157,2.271,2.401,2.720,2.405,2.301,2.605,
20180918-202001,20180918-202048,NG,|下表面轮廓度 -6.180 超差|外螺柱轮廓度 5.146 超差|,47.03,,A117NoFin,RightStation,SPC,-10.565,0.097,0.004,-6.180,-0.063,5.146,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.467,-10.454,-10.328,-10.468,-10.463,-10.424,-10.382,-10.439,RawDown,0.037,0.047,0.070,0.052,0.053,-0.028,-0.004,0.024,-0.001,-5.973,-5.954,-6.020,-6.081,-5.974,5.261,5.257,5.380,5.304,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.792,1.924,1.790,1.784,1.820,1.855,1.808,1.790,RawDownGT,2.596,2.573,2.557,2.572,2.575,2.719,2.673,2.619,2.664,2.616,2.536,2.315,2.354,2.488,2.714,2.486,2.490,2.637,
20180918-202106,20180918-202153,NG,|下表面轮廓度 -6.203 超差|外螺柱轮廓度 5.086 超差|,47.07,,A117NoFin,RightStation,SPC,-10.630,0.165,0.006,-6.203,-0.079,5.086,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.452,-10.472,-10.283,-10.437,-10.431,-10.388,-10.294,-10.402,RawDown,0.068,0.092,0.118,0.091,0.087,0.000,0.013,0.089,0.041,-5.991,-5.934,-5.933,-6.061,-5.924,5.278,5.243,5.381,5.301,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.777,1.942,1.745,1.753,1.788,1.819,1.720,1.754,RawDownGT,2.627,2.617,2.606,2.611,2.610,2.748,2.690,2.684,2.706,2.598,2.556,2.403,2.374,2.538,2.730,2.472,2.491,2.635,
20180918-202214,20180918-202301,NG,|下表面轮廓度 -6.107 超差|,47.05,,A117NoFin,RightStation,SPC,-10.339,0.202,0.006,-6.107,-0.107,5.188,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.451,-10.471,-10.327,-10.432,-10.492,-10.515,-10.432,-10.460,RawDown,0.058,0.069,0.058,0.035,0.055,-0.039,-0.016,-0.020,-0.075,-6.002,-5.968,-6.031,-6.138,-6.019,5.279,5.208,5.348,5.297,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.776,1.941,1.789,1.749,1.848,1.946,1.858,1.811,RawDownGT,2.616,2.595,2.546,2.555,2.577,2.709,2.661,2.575,2.591,2.587,2.521,2.305,2.297,2.443,2.731,2.437,2.458,2.631,
20180918-202322,20180918-202409,NG,|下表面轮廓度 -6.034 超差|,47.05,,A117NoFin,RightStation,SPC,-10.371,0.139,0.007,-6.034,-0.064,5.249,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.449,-10.579,-10.502,-10.435,-10.529,-10.599,-10.555,-10.493,RawDown,0.002,0.015,-0.014,-0.041,-0.006,-0.034,0.010,-0.088,-0.123,-6.054,-5.994,-6.137,-6.200,-6.091,5.273,5.109,5.162,5.324,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.774,2.049,1.964,1.751,1.886,2.030,1.981,1.845,RawDownGT,2.560,2.540,2.474,2.479,2.517,2.714,2.687,2.507,2.543,2.535,2.495,2.198,2.235,2.371,2.725,2.338,2.272,2.658,
20180918-202425,20180918-202512,NG,|下表面轮廓度 -6.162 超差|外螺柱轮廓度 5.107 超差|,47.07,,A117NoFin,RightStation,SPC,-10.584,0.132,0.002,-6.162,-0.078,5.107,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.432,-10.544,-10.343,-10.419,-10.444,-10.459,-10.377,-10.406,RawDown,0.059,0.087,0.090,0.062,0.077,0.017,0.025,0.030,0.001,-5.999,-5.971,-5.981,-6.117,-5.999,5.288,5.148,5.324,5.326,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.757,2.014,1.805,1.736,1.801,1.890,1.803,1.757,RawDownGT,2.618,2.612,2.577,2.583,2.600,2.764,2.702,2.625,2.667,2.590,2.519,2.354,2.318,2.463,2.741,2.377,2.433,2.660,
20180918-202530,20180918-202617,NG,|凸台平面度 0.047 超差|下表面轮廓度 -6.050 超差|,47.07,,A117NoFin,RightStation,SPC,-10.399,0.156,0.047,-6.050,-0.092,5.197,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.488,-10.457,-10.396,-10.486,-10.460,-10.428,-10.399,-10.453,RawDown,0.027,0.047,0.022,0.028,0.071,-0.033,-0.032,-0.004,-0.007,-6.007,-5.994,-5.965,-6.002,-5.958,5.245,5.245,5.272,5.266,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.813,1.927,1.858,1.803,1.817,1.859,1.825,1.804,RawDownGT,2.585,2.572,2.510,2.548,2.593,2.714,2.645,2.591,2.659,2.582,2.495,2.370,2.433,2.504,2.697,2.474,2.382,2.599,
20180918-202632,20180918-202719,NG,|下表面轮廓度 -6.178 超差|外螺柱轮廓度 5.062 超差|,47.03,,A117NoFin,RightStation,SPC,-10.637,0.196,0.013,-6.178,-0.096,5.062,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.494,-10.610,-10.390,-10.510,-10.471,-10.521,-10.434,-10.445,RawDown,0.007,0.032,0.053,0.012,0.018,-0.063,-0.050,-0.005,-0.070,-6.033,-5.996,-5.973,-6.153,-6.001,5.244,5.089,5.274,5.240,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.819,2.080,1.852,1.826,1.827,1.952,1.860,1.797,RawDownGT,2.566,2.557,2.541,2.533,2.541,2.684,2.627,2.590,2.595,2.556,2.494,2.363,2.282,2.461,2.697,2.318,2.383,2.574,
