StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,AW-vc up surface profile,Y-pedestal 1 flatness,T-pedestal 2 profile,S-pedestal 2 parallelism,V-vc down surface profile,AG-inner standoff profile,AH-outer standoff profile,SPEC,SPEC-AW,UpLimit-AW,DownLimit-AW,SPEC-Y,UpLimit-Y,DownLimit-Y,SPEC-T,UpLimit-T,DownLimit-T,SPEC-S,UpLimit-S,DownLimit-S,SPEC-V,UpLimit-V,DownLimit-V,SPEC-AG,UpLimit-AG,DownLimit-AG,SPEC-AH,UpLimit-AH,DownLimit-AH,RawUp,up,up,up,up,up,up,up,up,RawDown,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,ped2,ped2,ped2,ped2,ped2,inner,inner,inner,inner,down,down,down,down,down,down,outer,outer,outer,outer,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,ped2,ped2,ped2,ped2,ped2,inner,inner,inner,inner,down,down,down,down,down,down,outer,outer,outer,outer,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,ped2,ped2,ped2,ped2,ped2,inner,inner,inner,inner,down,down,down,down,down,down,outer,outer,outer,outer,
20180920-105729,20180920-105916,ERROR,GeometryCalcError,107.11,,A147NoFin,RightStation,SPC,0.000,0.003,0.000,0.000,0.000,0.000,0.000,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,0.00,0.100,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-8.694,-8.500,-8.508,-8.703,-8.626,-8.562,-8.567,-8.631,RawDown,-2.561,-2.516,-2.477,-2.520,-2.503,-2.653,-2.582,-2.500,-2.571,-2.417,-2.373,-2.335,-2.378,-2.375,-2.516,-2.446,-2.364,-2.434,-8.569,-8.524,-8.394,-8.407,-8.487,-8.547,2.602,2.726,3.025,2.902,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,RawDownGT,0.003,0.004,0.005,0.006,0.007,0.095,0.096,0.096,0.095,0.011,0.011,0.012,0.012,0.012,0.096,0.095,0.095,0.096,0.015,0.015,0.015,0.015,0.015,0.015,0.096,0.096,0.096,0.096,
20180920-142119,20180920-142240,NG,|上表面轮廓度 -6.034 超差|下表面轮廓度 -6.002 超差|,80.45,,A117NoFin,RightStation,SPC,-6.034,0.214,0.002,-6.002,-0.055,5.269,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-8.669,-8.524,-8.532,-8.677,-8.637,-8.563,-8.568,-8.642,RawDown,-2.564,-2.526,-2.481,-2.518,-2.520,-2.652,-2.581,-2.499,-2.569,-8.587,-8.483,-8.329,-8.432,-8.457,2.643,2.867,2.987,2.762,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,RawDownGT,-0.001,-0.001,0.001,0.002,0.002,0.096,0.096,0.096,0.096,0.004,0.004,0.004,0.005,0.005,0.096,0.096,0.096,0.096,
20180920-142404,20180920-142525,NG,|上表面轮廓度 -6.036 超差|下表面轮廓度 -6.000 超差|,80.45,,A117NoFin,RightStation,SPC,-6.036,0.209,0.000,-6.000,-0.056,5.273,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-8.669,-8.524,-8.532,-8.677,-8.637,-8.563,-8.568,-8.642,RawDown,-2.562,-2.524,-2.480,-2.518,-2.521,-2.652,-2.581,-2.500,-2.570,-8.588,-8.485,-8.330,-8.434,-8.458,2.643,2.867,2.986,2.762,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,RawDownGT,0.001,0.001,0.002,0.002,0.002,0.096,0.096,0.095,0.096,0.003,0.003,0.003,0.003,0.004,0.096,0.096,0.096,0.096,
20180920-143518,20180920-143639,NG,|上表面轮廓度 -10.748 超差|上表面平行度 0.380 超差|凸台平面度 0.053 超差|下表面轮廓度 -6.174 超差|外螺柱轮廓度 4.983 超差|,80.48,,A117NoFin,RightStation,SPC,-10.748,0.380,0.053,-6.174,-0.102,4.983,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.498,-10.599,-10.450,-10.606,-10.449,-10.462,-10.432,-10.493,RawDown,-0.031,-0.062,-0.088,0.027,-0.006,-0.080,-0.135,-0.014,0.019,-5.988,-6.068,-6.018,-6.052,-5.927,5.225,5.132,5.225,5.167,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.823,2.069,1.912,1.922,1.806,1.893,1.858,1.845,RawDownGT,2.532,2.463,2.394,2.546,2.517,2.667,2.542,2.581,2.684,2.603,2.419,2.316,2.385,2.535,2.677,2.361,2.334,2.500,
20180920-144137,20180920-144256,NG,|上表面轮廓度 -10.918 超差|上表面平行度 0.461 超差|下表面轮廓度 -6.301 超差|外螺柱轮廓度 4.813 超差|,78.98,,A117NoFin,RightStation,SPC,-10.918,0.461,0.006,-6.301,-0.069,4.813,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.510,-10.582,-10.451,-10.632,-10.458,-10.458,-10.436,-10.510,RawDown,-0.034,-0.062,-0.003,0.036,-0.017,-0.087,-0.144,-0.023,0.020,-5.993,-6.082,-6.015,-6.035,-5.930,5.218,5.148,5.225,5.111,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.835,2.052,1.913,1.949,1.815,1.889,1.862,1.861,RawDownGT,2.525,2.464,2.484,2.557,2.506,2.660,2.533,2.572,2.685,2.596,2.407,2.321,2.400,2.532,2.670,2.377,2.335,2.445,
20180920-144834,20180920-144954,NG,|下表面轮廓度 -6.197 超差|外螺柱轮廓度 5.062 超差|,79.90,,A117NoFin,RightStation,SPC,-10.636,0.209,0.004,-6.197,-0.048,5.062,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.460,-10.493,-10.344,-10.439,-10.429,-10.390,-10.327,-10.402,RawDown,0.024,0.048,0.078,0.053,0.055,-0.021,-0.003,0.062,0.025,-6.011,-5.965,-5.976,-6.074,-5.946,5.265,5.205,5.327,5.286,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.785,1.963,1.806,1.755,1.785,1.821,1.753,1.754,RawDownGT,2.582,2.573,2.565,2.574,2.577,2.726,2.674,2.657,2.690,2.578,2.524,2.359,2.361,2.516,2.717,2.434,2.437,2.620,
20180920-145349,20180920-145435,NG,|下表面轮廓度 -6.178 超差|外螺柱轮廓度 5.168 超差|,45.77,,A117NoFin,RightStation,SPC,-10.476,0.045,0.005,-6.178,-0.062,5.168,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.434,-10.381,-10.357,-10.416,-10.411,-10.391,-10.380,-10.391,RawDown,0.085,0.092,0.101,0.085,0.092,0.022,0.041,0.048,0.035,-5.945,-5.932,-6.050,-6.046,-5.951,5.293,5.323,5.304,5.328,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.759,1.851,1.819,1.733,1.768,1.822,1.806,1.742,RawDownGT,2.643,2.617,2.589,2.606,2.615,2.770,2.718,2.643,2.701,2.644,2.558,2.286,2.389,2.511,2.745,2.552,2.414,2.661,
20180920-145618,20180920-145704,NG,|下表面轮廓度 -6.142 超差|,45.83,,A117NoFin,RightStation,SPC,-10.434,0.073,0.003,-6.142,-0.058,5.227,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.464,-10.454,-10.422,-10.465,-10.481,-10.454,-10.456,-10.484,RawDown,0.026,0.025,0.023,0.022,0.021,-0.028,-0.017,-0.028,-0.037,-6.018,-6.044,-6.128,-6.116,-6.030,5.270,5.239,5.306,5.299,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.789,1.924,1.884,1.782,1.838,1.885,1.882,1.835,RawDownGT,2.584,2.551,2.510,2.543,2.544,2.719,2.660,2.567,2.628,2.571,2.446,2.208,2.319,2.432,2.723,2.468,2.415,2.632,
20180920-145721,20180920-145807,NG,|下表面轮廓度 -6.111 超差|,45.91,,A117NoFin,RightStation,SPC,-10.334,0.199,0.006,-6.111,-0.093,5.193,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.437,-10.390,-10.235,-10.418,-10.457,-10.448,-10.364,-10.422,RawDown,0.072,0.085,0.088,0.063,0.077,-0.023,0.007,0.029,-0.031,-5.985,-5.953,-5.971,-6.072,-5.975,5.291,5.296,5.427,5.308,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.762,1.860,1.697,1.734,1.814,1.879,1.790,1.773,RawDownGT,2.631,2.611,2.575,2.584,2.600,2.725,2.684,2.624,2.635,2.604,2.536,2.365,2.363,2.487,2.744,2.525,2.537,2.642,
20180920-145823,20180920-145909,NG,|下表面轮廓度 -6.193 超差|外螺柱轮廓度 5.104 超差|,45.79,,A117NoFin,RightStation,SPC,-10.609,0.142,0.007,-6.193,-0.081,5.104,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.439,-10.427,-10.261,-10.431,-10.408,-10.356,-10.273,-10.385,RawDown,0.081,0.100,0.129,0.104,0.098,0.011,0.017,0.100,0.062,-5.980,-5.936,-5.924,-6.029,-5.909,5.289,5.286,5.398,5.292,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.764,1.897,1.723,1.748,1.765,1.787,1.699,1.736,RawDownGT,2.639,2.626,2.616,2.625,2.620,2.758,2.694,2.695,2.727,2.609,2.553,2.411,2.406,2.553,2.741,2.515,2.507,2.626,
20180920-145926,20180920-150012,NG,|下表面轮廓度 -6.158 超差|外螺柱轮廓度 5.114 超差|,45.72,,A117NoFin,RightStation,SPC,-10.574,0.128,0.002,-6.158,-0.078,5.114,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.420,-10.468,-10.262,-10.398,-10.410,-10.390,-10.312,-10.372,RawDown,0.074,0.101,0.115,0.086,0.096,0.024,0.032,0.065,0.036,-5.985,-5.961,-5.924,-6.056,-5.959,5.295,5.220,5.402,5.327,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.745,1.938,1.724,1.714,1.767,1.821,1.738,1.723,RawDownGT,2.632,2.626,2.603,2.607,2.619,2.771,2.709,2.660,2.702,2.604,2.528,2.411,2.379,2.503,2.748,2.449,2.511,2.661,
20180920-150026,20180920-150112,NG,|下表面轮廓度 -6.037 超差|,45.80,,A117NoFin,RightStation,SPC,-10.344,0.163,0.009,-6.037,-0.058,5.246,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.453,-10.549,-10.467,-10.429,-10.523,-10.586,-10.534,-10.480,RawDown,-0.003,0.013,-0.011,-0.046,-0.010,-0.043,0.010,-0.077,-0.121,-6.065,-5.996,-6.121,-6.194,-6.089,5.263,5.126,5.190,5.324,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.778,2.019,1.929,1.746,1.879,2.017,1.960,1.831,RawDownGT,2.555,2.538,2.476,2.475,2.513,2.705,2.687,2.518,2.545,2.524,2.493,2.215,2.241,2.373,2.716,2.355,2.300,2.658,
20180920-150129,20180920-150214,NG,|下表面轮廓度 -6.155 超差|外螺柱轮廓度 5.099 超差|,45.80,,A117NoFin,RightStation,SPC,-10.606,0.145,0.012,-6.155,-0.113,5.099,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.472,-10.489,-10.315,-10.500,-10.419,-10.429,-10.367,-10.402,RawDown,0.053,0.071,0.101,0.064,0.065,-0.025,-0.035,0.041,-0.008,-5.994,-5.970,-5.906,-6.049,-5.937,5.269,5.216,5.367,5.247,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.797,1.959,1.777,1.816,1.775,1.860,1.793,1.754,RawDownGT,2.612,2.596,2.589,2.585,2.588,2.722,2.642,2.636,2.658,2.595,2.520,2.429,2.386,2.525,2.722,2.445,2.477,2.580,
20180920-150228,20180920-150314,NG,|凸台平面度 0.048 超差|下表面轮廓度 -6.062 超差|外螺柱轮廓度 5.179 超差|,45.85,,A117NoFin,RightStation,SPC,-10.405,0.144,0.048,-6.062,-0.099,5.179,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.529,-10.440,-10.332,-10.448,-10.456,-10.404,-10.348,-10.417,RawDown,0.028,0.063,0.046,0.034,0.085,-0.045,-0.017,0.031,-0.001,-6.032,-5.972,-5.912,-5.989,-5.933,5.207,5.268,5.345,5.280,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.854,1.910,1.794,1.765,1.813,1.835,1.774,1.768,RawDownGT,2.587,2.588,2.534,2.555,2.607,2.703,2.660,2.626,2.665,2.557,2.517,2.423,2.446,2.529,2.660,2.497,2.454,2.614,
