StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20180926-093648,00010101-000000,NONE,,0.00,GRR TEST START,,,SPC,SPCMIN,SPCMAX,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20180926-093650,00010101-000000,NONE,,0.00,GRR TEST START,,,SPC,SPCMIN,SPCMAX,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20180926-094444,20180926-094525,NG,|上表面轮廓度 -10.908 超差|上表面平行度 0.508 超差|下表面轮廓度 -6.327 超差|,41.32,,A117NoFin,RightStation,SPC,-10.908,0.508,0.005,-6.327,-0.011,5.286,SPCMIN,-10.908,-10.908,-0.003,-6.327,-0.051,4.802,SPCMAX,-10.400,-10.400,0.002,-5.994,-0.011,5.286,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.500,-10.447,-10.503,-10.744,-10.411,-10.369,-10.462,-10.548,RawDown,-0.079,-0.147,-0.063,0.014,-0.068,-0.115,-0.254,-0.072,0.051,-6.010,-6.209,-6.065,-5.968,-5.944,5.191,5.264,5.185,4.969,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.986,1.898,1.790,2.065,1.854,1.794,1.790,1.893,RawDownGT,2.397,2.334,2.401,2.473,2.403,2.512,2.386,2.530,2.641,2.459,2.277,2.352,2.432,2.499,2.489,2.461,2.403,2.287,
20180926-094528,20180926-094609,NG,|上表面轮廓度 -10.912 超差|上表面平行度 0.518 超差|下表面轮廓度 -6.333 超差|,41.32,,A117NoFin,RightStation,SPC,-10.912,0.518,0.006,-6.333,-0.011,5.287,SPCMIN,-10.912,-10.912,-0.003,-6.333,-0.053,4.797,SPCMAX,-10.395,-10.395,0.003,-5.991,-0.011,5.287,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.502,-10.449,-10.507,-10.743,-10.410,-10.367,-10.461,-10.545,RawDown,-0.081,-0.150,-0.066,0.012,-0.069,-0.118,-0.257,-0.075,0.048,-6.010,-6.210,-6.065,-5.973,-5.944,5.187,5.261,5.183,4.965,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.987,1.901,1.795,2.064,1.853,1.792,1.789,1.891,RawDownGT,2.395,2.331,2.399,2.471,2.401,2.509,2.382,2.527,2.639,2.459,2.276,2.352,2.427,2.499,2.485,2.458,2.401,2.283,
20180926-094613,20180926-094654,NG,|上表面轮廓度 -10.916 超差|上表面平行度 0.534 超差|下表面轮廓度 -6.350 超差|,41.29,,A117NoFin,RightStation,SPC,-10.916,0.534,0.006,-6.350,-0.007,5.295,SPCMIN,-10.916,-10.916,-0.003,-6.350,-0.055,4.788,SPCMAX,-10.382,-10.382,0.004,-5.987,-0.007,5.295,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.503,-10.448,-10.505,-10.737,-10.410,-10.367,-10.460,-10.538,RawDown,-0.085,-0.156,-0.069,0.009,-0.073,-0.120,-0.259,-0.077,0.045,-6.012,-6.212,-6.067,-5.987,-5.946,5.187,5.256,5.182,4.965,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.988,1.900,1.792,2.058,1.853,1.792,1.788,1.883,RawDownGT,2.391,2.325,2.395,2.468,2.398,2.507,2.380,2.525,2.635,2.457,2.274,2.350,2.413,2.497,2.485,2.453,2.399,2.283,
20180926-094657,20180926-094739,NG,|上表面轮廓度 -10.914 超差|上表面平行度 0.524 超差|下表面轮廓度 -6.336 超差|,41.31,,A117NoFin,RightStation,SPC,-10.914,0.524,0.005,-6.336,-0.009,5.289,SPCMIN,-10.914,-10.914,-0.003,-6.336,-0.053,4.794,SPCMAX,-10.390,-10.390,0.002,-5.988,-0.009,5.289,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.504,-10.451,-10.507,-10.740,-10.411,-10.367,-10.461,-10.545,RawDown,-0.086,-0.154,-0.070,0.009,-0.074,-0.121,-0.260,-0.078,0.045,-6.012,-6.211,-6.067,-5.977,-5.946,5.184,5.257,5.182,4.961,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.990,1.903,1.794,2.061,1.853,1.793,1.789,1.891,RawDownGT,2.390,2.327,2.395,2.468,2.396,2.506,2.380,2.525,2.636,2.457,2.275,2.350,2.423,2.497,2.481,2.454,2.399,2.279,
20180926-094742,20180926-094823,NG,|上表面轮廓度 -10.918 超差|上表面平行度 0.520 超差|下表面轮廓度 -6.331 超差|,41.29,,A117NoFin,RightStation,SPC,-10.918,0.520,0.005,-6.331,-0.007,5.292,SPCMIN,-10.918,-10.918,-0.003,-6.331,-0.055,4.789,SPCMAX,-10.398,-10.398,0.002,-5.990,-0.007,5.292,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.501,-10.448,-10.503,-10.746,-10.410,-10.365,-10.460,-10.551,RawDown,-0.084,-0.153,-0.066,0.011,-0.072,-0.118,-0.257,-0.075,0.047,-6.012,-6.211,-6.065,-5.966,-5.946,5.188,5.260,5.181,4.965,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.987,1.899,1.790,2.067,1.852,1.791,1.788,1.896,RawDownGT,2.392,2.328,2.398,2.470,2.399,2.509,2.383,2.527,2.637,2.457,2.275,2.352,2.434,2.497,2.485,2.457,2.398,2.283,
20180926-094827,20180926-094909,NG,|上表面轮廓度 -10.919 超差|上表面平行度 0.521 超差|下表面轮廓度 -6.333 超差|,41.29,,A117NoFin,RightStation,SPC,-10.919,0.521,0.005,-6.333,-0.009,5.293,SPCMIN,-10.919,-10.919,-0.002,-6.333,-0.052,4.793,SPCMAX,-10.398,-10.398,0.003,-5.989,-0.009,5.293,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.503,-10.450,-10.506,-10.747,-10.412,-10.367,-10.462,-10.549,RawDown,-0.084,-0.153,-0.066,0.010,-0.072,-0.118,-0.258,-0.075,0.048,-6.010,-6.209,-6.065,-5.969,-5.945,5.189,5.262,5.186,4.968,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.988,1.902,1.794,2.068,1.854,1.792,1.790,1.895,RawDownGT,2.392,2.328,2.399,2.469,2.399,2.509,2.382,2.527,2.639,2.459,2.277,2.352,2.431,2.498,2.487,2.459,2.404,2.286,
20180926-094912,20180926-094953,NG,|上表面轮廓度 -10.915 超差|上表面平行度 0.512 超差|下表面轮廓度 -6.320 超差|,41.32,,A117NoFin,RightStation,SPC,-10.915,0.512,0.006,-6.320,-0.009,5.294,SPCMIN,-10.915,-10.915,-0.003,-6.320,-0.052,4.795,SPCMAX,-10.403,-10.403,0.003,-5.987,-0.009,5.294,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.503,-10.450,-10.506,-10.754,-10.412,-10.367,-10.462,-10.557,RawDown,-0.086,-0.154,-0.068,0.009,-0.073,-0.119,-0.259,-0.077,0.047,-6.011,-6.209,-6.065,-5.959,-5.946,5.189,5.261,5.185,4.967,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.989,1.901,1.793,2.075,1.855,1.792,1.790,1.902,RawDownGT,2.390,2.327,2.396,2.468,2.398,2.508,2.380,2.525,2.638,2.458,2.277,2.352,2.441,2.497,2.486,2.458,2.403,2.285,
20180926-094956,20180926-095037,NG,|上表面轮廓度 -10.919 超差|上表面平行度 0.517 超差|下表面轮廓度 -6.323 超差|,41.29,,A117NoFin,RightStation,SPC,-10.919,0.517,0.007,-6.323,-0.006,5.297,SPCMIN,-10.919,-10.919,-0.003,-6.323,-0.055,4.787,SPCMAX,-10.402,-10.402,0.004,-5.983,-0.006,5.297,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.501,-10.449,-10.505,-10.753,-10.412,-10.368,-10.463,-10.559,RawDown,-0.087,-0.158,-0.071,0.008,-0.074,-0.121,-0.261,-0.079,0.045,-6.015,-6.210,-6.068,-5.959,-5.947,5.183,5.257,5.178,4.964,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.986,1.901,1.793,2.074,1.855,1.793,1.791,1.905,RawDownGT,2.389,2.324,2.394,2.467,2.397,2.506,2.378,2.523,2.636,2.454,2.276,2.349,2.441,2.496,2.481,2.454,2.395,2.282,
20180926-095041,20180926-095122,NG,|上表面轮廓度 -10.916 超差|上表面平行度 0.515 超差|下表面轮廓度 -6.325 超差|,41.29,,A117NoFin,RightStation,SPC,-10.916,0.515,0.007,-6.325,-0.008,5.294,SPCMIN,-10.916,-10.916,-0.003,-6.325,-0.054,4.794,SPCMAX,-10.401,-10.401,0.003,-5.986,-0.008,5.294,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.503,-10.449,-10.504,-10.747,-10.415,-10.371,-10.462,-10.554,RawDown,-0.082,-0.152,-0.068,0.012,-0.070,-0.118,-0.258,-0.076,0.048,-6.010,-6.208,-6.065,-5.963,-5.943,5.185,5.262,5.183,4.967,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.988,1.900,1.792,2.068,1.858,1.796,1.790,1.900,RawDownGT,2.394,2.329,2.397,2.471,2.400,2.509,2.382,2.526,2.639,2.459,2.278,2.352,2.437,2.500,2.483,2.459,2.400,2.285,
20180926-095126,20180926-095208,NG,|上表面轮廓度 -10.921 超差|上表面平行度 0.514 超差|下表面轮廓度 -6.322 超差|,41.26,,A117NoFin,RightStation,SPC,-10.921,0.514,0.007,-6.322,-0.009,5.292,SPCMIN,-10.921,-10.921,-0.003,-6.322,-0.055,4.794,SPCMAX,-10.407,-10.407,0.004,-5.989,-0.009,5.292,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.505,-10.451,-10.507,-10.754,-10.414,-10.371,-10.463,-10.558,RawDown,-0.080,-0.150,-0.065,0.014,-0.067,-0.115,-0.256,-0.074,0.050,-6.008,-6.208,-6.062,-5.956,-5.943,5.191,5.265,5.186,4.968,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.990,1.902,1.794,2.075,1.857,1.796,1.791,1.903,RawDownGT,2.396,2.331,2.400,2.473,2.403,2.512,2.384,2.529,2.641,2.461,2.278,2.355,2.444,2.500,2.489,2.462,2.404,2.286,
