StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,W-vc up surface profile,X-vc up parallelism,Y-pedestal 1 flatness,T-pedestal 2 profile,S-pedestal 2 parallelism,V-vc down surface profile,AG-inner standoff profile,AH-outer standoff profile,SPCMIN,上表面轮廓度MIN,上表面平行度MIN,凸台1平面度MIN,凸台2轮廓度MIN,凸台2平行度MIN,下表面轮廓度MIN,内螺柱轮廓度MIN,外螺柱轮廓度MIN,SPCMAX,上表面轮廓度MAX,上表面平行度MAX,凸台1平面度MAX,凸台2轮廓度MAX,凸台2平行度MAX,下表面轮廓度MAX,内螺柱轮廓度MAX,外螺柱轮廓度MAX,SPEC,SPEC-W,UpLimit-W,DownLimit-W,SPEC-X,UpLimit-X,DownLimit-X,SPEC-Y,UpLimit-Y,DownLimit-Y,SPEC-T,UpLimit-T,DownLimit-T,SPEC-S,UpLimit-S,DownLimit-S,SPEC-V,UpLimit-V,DownLimit-V,SPEC-AG,UpLimit-AG,DownLimit-AG,SPEC-AH,UpLimit-AH,DownLimit-AH,,SPC,W-vc up surface profile,X-vc up parallelism,Y-pedestal 1 flatness,T-pedestal 2 profile,S-pedestal 2 parallelism,V-vc down surface profile,AG-inner standoff profile,AH-outer standoff profile,SPEC,SPEC-W,UpLimit-W,DownLimit-W,SPEC-X,UpLimit-X,DownLimit-X,SPEC-Y,UpLimit-Y,DownLimit-Y,SPEC-T,UpLimit-T,DownLimit-T,SPEC-S,UpLimit-S,DownLimit-S,SPEC-V,UpLimit-V,DownLimit-V,SPEC-AG,UpLimit-AG,DownLimit-AG,SPEC-AH,UpLimit-AH,DownLimit-AH,RawUp,up,up,up,up,up,up,up,up,RawDown,outer,outer,outer,outer,inner,down,ped2,ped2,ped2,ped2,ped2,inner,inner,down,inner,inner,inner,down,down,ped1,ped1,ped1,ped1,ped1,inner,down,down,inner,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,outer,outer,outer,outer,inner,down,ped2,ped2,ped2,ped2,ped2,inner,inner,down,inner,inner,inner,down,down,ped1,ped1,ped1,ped1,ped1,inner,down,down,inner,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,outer,outer,outer,outer,inner,down,ped2,ped2,ped2,ped2,ped2,inner,inner,down,inner,inner,inner,down,down,ped1,ped1,ped1,ped1,ped1,inner,down,down,inner,
20181027-194800,20181027-194902,NG,|凸台2平行度 0.054 超差|下表面轮廓度 -4.106 超差|,61.43,,A147NoFin,RightStation,SPC,-8.674,0.159,0.010,-0.023,0.054,-4.106,-0.084,5.241,SPC MIN,-8.674,-8.648,-0.004,-0.078,-0.083,-4.106,-0.196,5.100,SPC MAX,-8.505,-8.489,0.006,-0.023,-0.029,-3.992,-0.084,5.241,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-8.674,0.159,0.010,-0.023,0.054,-4.106,-0.084,5.241,SPCMIN,-8.674,-8.648,-0.004,-0.078,-0.083,-4.106,-0.196,5.100,SPCMAX,-8.505,-8.489,0.006,-0.023,-0.029,-3.992,-0.084,5.241,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.615,-10.493,-10.504,-10.637,-10.521,-10.488,-10.525,-10.555,RawDown,3.123,3.110,3.249,3.282,-2.054,-5.985,-1.943,-1.961,-1.975,-1.974,-1.971,-2.084,-2.082,-6.022,-2.116,-2.062,-2.044,-5.958,-5.994,-2.038,-2.006,-2.016,-2.059,-2.022,-2.185,-6.065,-6.044,-2.134,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.632,2.432,2.284,2.495,2.474,2.416,2.362,2.418,RawDownGT,1.928,1.949,1.990,1.989,2.001,2.428,2.489,2.457,2.453,2.468,2.459,1.991,2.019,2.443,2.004,2.038,2.038,2.481,2.465,2.438,2.457,2.457,2.428,2.452,1.961,2.429,2.437,1.993,
20181027-194910,20181027-195012,NG,|上表面轮廓度 -8.925 超差|上表面平行度 0.300 超差|凸台2轮廓度 -0.074 超差|凸台2平行度 0.152 超差|下表面轮廓度 -4.207 超差|外螺柱轮廓度 5.146 超差|,61.48,,A147NoFin,RightStation,SPC,-8.925,0.300,0.004,-0.074,0.152,-4.207,-0.093,5.146,SPC MIN,-8.925,-8.832,-0.002,-0.226,-0.231,-4.207,-0.387,4.821,SPC MAX,-8.527,-8.532,0.002,-0.074,-0.079,-3.992,-0.093,5.146,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-8.925,0.300,0.004,-0.074,0.152,-4.207,-0.093,5.146,SPCMIN,-8.925,-8.832,-0.002,-0.226,-0.231,-4.207,-0.387,4.821,SPCMAX,-8.527,-8.532,0.002,-0.074,-0.079,-3.992,-0.093,5.146,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.781,-10.520,-10.527,-10.782,-10.483,-10.410,-10.449,-10.522,RawDown,2.982,2.980,3.212,3.250,-2.024,-5.919,-1.852,-1.901,-1.928,-1.887,-1.908,-2.055,-2.015,-5.950,-2.052,-2.006,-1.967,-5.879,-5.966,-2.033,-1.948,-1.957,-2.033,-1.993,-2.201,-6.087,-6.082,-2.176,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.797,2.459,2.307,2.639,2.436,2.338,2.286,2.385,RawDownGT,1.788,1.819,1.953,1.957,2.031,2.494,2.580,2.516,2.500,2.555,2.522,2.020,2.087,2.514,2.068,2.094,2.115,2.560,2.493,2.443,2.514,2.516,2.454,2.482,1.945,2.407,2.399,1.951,
20181027-195037,20181027-195138,NG,|凸台2平行度 0.092 超差|,61.57,,A147NoFin,RightStation,SPC,-8.672,0.162,0.016,-0.010,0.092,-4.099,-0.092,5.231,SPC MIN,-8.672,-8.679,-0.007,-0.103,-0.101,-4.099,-0.240,5.080,SPC MAX,-8.526,-8.517,0.010,-0.010,-0.009,-4.038,-0.092,5.231,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-8.672,0.162,0.016,-0.010,0.092,-4.099,-0.092,5.231,SPCMIN,-8.672,-8.679,-0.007,-0.103,-0.101,-4.099,-0.240,5.080,SPCMAX,-8.526,-8.517,0.010,-0.010,-0.009,-4.038,-0.092,5.231,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.617,-10.544,-10.480,-10.552,-10.566,-10.524,-10.542,-10.547,RawDown,3.140,3.200,3.271,3.245,-2.073,-5.995,-1.933,-1.943,-1.973,-1.955,-1.952,-2.087,-2.100,-6.016,-2.098,-2.102,-2.087,-6.009,-6.059,-2.024,-1.986,-1.972,-1.994,-1.982,-2.114,-6.069,-6.086,-2.133,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.633,2.483,2.260,2.409,2.520,2.452,2.379,2.410,RawDownGT,1.945,2.039,2.012,1.952,1.983,2.418,2.499,2.474,2.455,2.487,2.478,1.988,2.002,2.449,2.022,1.998,1.995,2.430,2.400,2.452,2.477,2.501,2.493,2.493,2.032,2.425,2.395,1.994,
20181027-201542,20181027-201642,NG,|上表面轮廓度 -8.852 超差|上表面平行度 0.277 超差|凸台2轮廓度 -0.089 超差|凸台2平行度 0.098 超差|下表面轮廓度 -4.198 超差|,60.22,,A147NoFin,RightStation,SPC,-8.852,0.277,0.011,-0.089,0.098,-4.198,-0.095,5.209,SPC MIN,-8.852,-8.790,-0.006,-0.189,-0.187,-4.198,-0.317,4.910,SPC MAX,-8.542,-8.512,0.005,-0.089,-0.088,-4.030,-0.095,5.209,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-8.852,0.277,0.011,-0.089,0.098,-4.198,-0.095,5.209,SPCMIN,-8.852,-8.790,-0.006,-0.189,-0.187,-4.198,-0.317,4.910,SPCMAX,-8.542,-8.512,0.005,-0.089,-0.088,-4.030,-0.095,5.209,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.672,-10.469,-10.490,-10.782,-10.511,-10.434,-10.461,-10.528,RawDown,3.079,2.977,3.249,3.293,-2.001,-5.927,-1.886,-1.912,-1.913,-1.901,-1.907,-2.025,-2.011,-5.970,-2.058,-2.032,-1.996,-5.932,-6.015,-2.024,-1.961,-1.963,-2.049,-1.996,-2.205,-6.109,-6.086,-2.151,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.689,2.408,2.270,2.640,2.465,2.362,2.298,2.391,RawDownGT,1.885,1.816,1.990,2.000,2.055,2.486,2.546,2.506,2.515,2.541,2.523,2.050,2.091,2.495,2.061,2.068,2.086,2.508,2.444,2.452,2.501,2.509,2.438,2.478,1.941,2.384,2.395,1.976,
20181027-201707,20181027-201807,NG,|上表面轮廓度 -8.835 超差|上表面平行度 0.363 超差|凸台2平行度 0.124 超差|下表面轮廓度 -4.132 超差|,60.18,,A147NoFin,RightStation,SPC,-8.835,0.363,0.011,-0.046,0.124,-4.132,-0.033,5.263,SPC MIN,-8.835,-8.797,-0.005,-0.171,-0.172,-4.132,-0.315,4.926,SPC MAX,-8.477,-8.433,0.006,-0.046,-0.048,-3.971,-0.033,5.263,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-8.835,0.363,0.011,-0.046,0.124,-4.132,-0.033,5.263,SPCMIN,-8.835,-8.797,-0.005,-0.171,-0.172,-4.132,-0.315,4.926,SPCMAX,-8.477,-8.433,0.006,-0.046,-0.048,-3.971,-0.033,5.263,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.599,-10.514,-10.519,-10.644,-10.447,-10.434,-10.471,-10.485,RawDown,3.147,3.125,3.241,3.260,-2.034,-5.945,-1.888,-1.911,-1.940,-1.918,-1.921,-2.053,-1.907,-5.953,-2.011,-1.986,-1.978,-5.902,-5.958,-2.004,-1.961,-1.932,-1.997,-1.980,-2.118,-6.074,-6.036,-2.076,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.615,2.453,2.299,2.502,2.400,2.362,2.308,2.348,RawDownGT,1.952,1.964,1.982,1.967,2.021,2.468,2.544,2.506,2.488,2.524,2.509,2.022,2.194,2.512,2.108,2.114,2.104,2.538,2.501,2.472,2.502,2.540,2.490,2.495,2.028,2.419,2.445,2.051,
20181027-201816,20181027-201916,NG,|上表面轮廓度 -9.021 超差|上表面平行度 0.464 超差|凸台2轮廓度 -0.107 超差|凸台2平行度 0.144 超差|下表面轮廓度 -4.273 超差|,60.26,,A147NoFin,RightStation,SPC,-9.021,0.464,0.008,-0.107,0.144,-4.273,-0.099,5.217,SPC MIN,-9.021,-8.941,-0.005,-0.251,-0.254,-4.273,-0.439,4.756,SPC MAX,-8.533,-8.477,0.003,-0.107,-0.110,-4.061,-0.099,5.217,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-9.021,0.464,0.008,-0.107,0.144,-4.273,-0.099,5.217,SPCMIN,-9.021,-8.941,-0.005,-0.251,-0.254,-4.273,-0.439,4.756,SPCMAX,-8.533,-8.477,0.003,-0.107,-0.110,-4.061,-0.099,5.217,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.641,-10.579,-10.577,-10.622,-10.449,-10.426,-10.480,-10.478,RawDown,3.114,3.129,3.164,3.198,-2.063,-5.936,-1.837,-1.898,-1.930,-1.876,-1.890,-2.087,-2.006,-5.955,-2.003,-1.937,-1.974,-5.884,-5.946,-1.941,-1.876,-1.890,-1.962,-1.924,-2.105,-6.067,-6.043,-2.093,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.657,2.518,2.357,2.479,2.403,2.354,2.317,2.341,RawDownGT,1.919,1.968,1.905,1.905,1.993,2.477,2.595,2.520,2.498,2.566,2.540,1.987,2.095,2.510,2.116,2.163,2.108,2.555,2.513,2.535,2.587,2.582,2.525,2.551,2.041,2.426,2.438,2.034,
20181027-201936,20181027-202036,NG,|上表面轮廓度 -9.087 超差|上表面平行度 0.712 超差|凸台2轮廓度 -0.157 超差|凸台2平行度 0.210 超差|下表面轮廓度 -4.265 超差|,60.12,,A147NoFin,RightStation,SPC,-9.087,0.712,0.024,-0.157,0.210,-4.265,-0.003,5.368,SPC MIN,-9.087,-9.029,-0.009,-0.368,-0.367,-4.265,-0.529,4.656,SPC MAX,-8.376,-8.316,0.015,-0.157,-0.157,-3.963,-0.003,5.368,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-9.087,0.712,0.024,-0.157,0.210,-4.265,-0.003,5.368,SPCMIN,-9.087,-9.029,-0.009,-0.368,-0.367,-4.265,-0.529,4.656,SPCMAX,-8.376,-8.316,0.015,-0.157,-0.157,-3.963,-0.003,5.368,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.633,-10.525,-10.544,-10.666,-10.464,-10.455,-10.470,-10.468,RawDown,3.112,3.091,3.198,3.237,-2.080,-5.967,-1.909,-1.967,-1.985,-1.915,-1.957,-2.087,-1.996,-5.903,-2.013,-1.996,-1.975,-5.909,-5.984,-2.069,-1.961,-1.935,-2.024,-1.978,-2.148,-6.089,-6.093,-2.123,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.649,2.464,2.324,2.524,2.418,2.383,2.307,2.331,RawDownGT,1.917,1.930,1.939,1.944,1.975,2.446,2.523,2.451,2.443,2.527,2.473,1.988,2.106,2.561,2.106,2.104,2.107,2.530,2.475,2.407,2.502,2.538,2.463,2.496,1.998,2.405,2.388,2.004,
20181027-202107,20181027-202207,NG,|上表面轮廓度 -9.019 超差|上表面平行度 0.435 超差|凸台2轮廓度 -0.099 超差|凸台2平行度 0.144 超差|下表面轮廓度 -4.243 超差|,59.81,,A147NoFin,RightStation,SPC,-9.019,0.435,0.006,-0.099,0.144,-4.243,-0.105,5.206,SPC MIN,-9.019,-8.913,-0.005,-0.243,-0.252,-4.243,-0.418,4.763,SPC MAX,-8.552,-8.478,0.002,-0.099,-0.108,-4.044,-0.105,5.206,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-9.019,0.435,0.006,-0.099,0.144,-4.243,-0.105,5.206,SPCMIN,-9.019,-8.913,-0.005,-0.243,-0.252,-4.243,-0.418,4.763,SPCMAX,-8.552,-8.478,0.002,-0.099,-0.108,-4.044,-0.105,5.206,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.650,-10.621,-10.567,-10.620,-10.449,-10.407,-10.467,-10.456,RawDown,3.081,3.139,3.182,3.161,-2.075,-5.940,-1.851,-1.920,-1.938,-1.889,-1.918,-1.897,-2.005,-5.908,-2.001,-1.981,-1.959,-5.859,-5.953,-1.950,-1.888,-1.893,-1.959,-1.928,-2.096,-6.035,-6.023,-2.091,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.667,2.560,2.347,2.477,2.403,2.335,2.304,2.319,RawDownGT,1.886,1.978,1.923,1.868,1.981,2.473,2.581,2.497,2.490,2.553,2.512,2.178,2.097,2.557,2.119,2.119,2.123,2.581,2.506,2.526,2.575,2.579,2.528,2.546,2.050,2.458,2.458,2.036,
20181027-202228,20181027-202329,NG,|上表面轮廓度 -8.871 超差|上表面平行度 0.397 超差|凸台2轮廓度 -0.053 超差|凸台2平行度 0.154 超差|下表面轮廓度 -4.137 超差|,60.54,,A147NoFin,RightStation,SPC,-8.871,0.397,0.006,-0.053,0.154,-4.137,-0.035,5.257,SPC MIN,-8.871,-8.816,-0.002,-0.207,-0.206,-4.137,-0.336,4.868,SPC MAX,-8.470,-8.420,0.004,-0.053,-0.052,-3.984,-0.035,5.257,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-8.871,0.397,0.006,-0.053,0.154,-4.137,-0.035,5.257,SPCMIN,-8.871,-8.816,-0.002,-0.207,-0.206,-4.137,-0.336,4.868,SPCMAX,-8.470,-8.420,0.004,-0.053,-0.052,-3.984,-0.035,5.257,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.612,-10.588,-10.550,-10.602,-10.452,-10.450,-10.470,-10.449,RawDown,3.128,3.149,3.189,3.197,-2.085,-5.978,-1.910,-1.954,-1.982,-1.931,-1.947,-2.075,-2.011,-5.948,-1.999,-1.991,-1.988,-5.926,-5.988,-2.016,-1.964,-1.935,-1.983,-1.969,-2.090,-6.045,-6.046,-2.092,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.629,2.527,2.330,2.460,2.406,2.378,2.307,2.312,RawDownGT,1.934,1.988,1.930,1.904,1.970,2.435,2.522,2.463,2.446,2.511,2.483,2.000,2.090,2.516,2.120,2.109,2.094,2.513,2.471,2.460,2.499,2.538,2.504,2.505,2.056,2.448,2.435,2.035,
20181027-202340,20181027-202441,NG,|上表面轮廓度 -9.117 超差|上表面平行度 0.537 超差|凸台2轮廓度 -0.058 超差|凸台2平行度 0.187 超差|下表面轮廓度 -4.326 超差|,60.68,,A147NoFin,RightStation,SPC,-9.117,0.537,0.003,-0.058,0.187,-4.326,-0.113,5.197,SPC MIN,-9.117,-8.949,-0.001,-0.246,-0.240,-4.326,-0.466,4.656,SPC MAX,-8.553,-8.412,0.002,-0.058,-0.052,-4.058,-0.113,5.197,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-9.117,0.537,0.003,-0.058,0.187,-4.326,-0.113,5.197,SPCMIN,-9.117,-8.949,-0.001,-0.246,-0.240,-4.326,-0.466,4.656,SPCMAX,-8.553,-8.412,0.002,-0.058,-0.052,-4.058,-0.113,5.197,SPEC,-8.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,0.00,0.050,-0.05,0.00,0.040,0.00,-4.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.658,-10.580,-10.497,-10.921,-10.500,-10.451,-10.503,-10.640,RawDown,3.092,2.827,3.249,3.193,-2.058,-5.955,-1.874,-1.914,-1.920,-1.900,-1.898,-2.059,-2.073,-6.057,-2.152,-2.021,-1.994,-5.913,-6.008,-2.051,-1.961,-2.038,-2.134,-2.048,-2.322,-6.239,-6.139,-2.174,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.675,2.519,2.277,2.779,2.453,2.379,2.340,2.503,RawDownGT,1.897,1.666,1.990,1.900,1.997,2.458,2.558,2.503,2.508,2.542,2.532,2.015,2.029,2.408,1.967,2.079,2.088,2.526,2.451,2.425,2.501,2.434,2.353,2.427,1.824,2.254,2.342,1.953,
