StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPCMIN,上表面轮廓度MIN,上表面平行度MIN,凸台平面度MIN,下表面轮廓度MIN,内螺柱轮廓度MIN,外螺柱轮廓度MIN,SPCMAX,上表面轮廓度MAX,上表面平行度MAX,凸台平面度MAX,下表面轮廓度MAX,内螺柱轮廓度MAX,外螺柱轮廓度MAX,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPCMIN,K-MIN,L-MIN,J-MIN,M-MIN,O-MIN,N-MIN,SPCMAX,K-MAX,L-MAX,J-MAX,M-MAX,O-MAX,N-MAX,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,RawUp,up,up,up,up,up,up,up,up,RawDown,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,outer,outer,outer,outer,down,down,down,inner,ped1,ped1,ped1,inner,down,inner,ped1,ped1,down,inner,
20181104-153409,20181104-153453,NG,下表面轮廓度 -6.207 超差|,44.62,,VaporChamber,RightStation-A117VC,SPC,-10.695,0.225,0.001,-6.207,0.039,5.359,SPC MIN,-10.695,-10.652,0.000,-6.207,-0.016,5.104,SPC MAX,-10.431,-10.428,0.000,-6.037,0.039,5.359,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.695,0.225,0.001,-6.207,0.039,5.359,SPCMIN,-10.695,-10.652,0.000,-6.207,-0.016,5.104,SPCMAX,-10.431,-10.428,0.000,-6.037,0.039,5.359,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.489,-10.508,-10.457,-10.522,-10.412,-10.409,-10.388,-10.424,RawDown,5.319,5.285,5.322,5.299,-6.053,-6.000,-5.966,0.099,0.043,0.027,0.051,0.093,-6.023,-0.021,0.013,0.003,-6.039,0.007,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.486,2.526,2.315,2.360,2.380,2.387,2.272,2.297,RawDownGT,2.013,2.025,1.921,1.851,2.214,2.291,2.363,2.074,2.395,2.396,2.411,2.096,2.368,2.034,2.398,2.381,2.328,2.035,
20181104-153457,20181104-153541,NG,下表面轮廓度 -6.204 超差|,44.40,,VaporChamber,RightStation-A117VC,SPC,-10.692,0.218,0.003,-6.204,0.035,5.356,SPC MIN,-10.692,-10.648,-0.001,-6.204,-0.015,5.085,SPC MAX,-10.430,-10.430,0.002,-6.040,0.035,5.356,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.692,0.218,0.003,-6.204,0.035,5.356,SPCMIN,-10.692,-10.648,-0.001,-6.204,-0.015,5.085,SPCMAX,-10.430,-10.430,0.002,-6.040,0.035,5.356,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.497,-10.506,-10.455,-10.522,-10.413,-10.407,-10.385,-10.424,RawDown,5.314,5.281,5.304,5.284,-6.051,-5.998,-5.967,0.093,0.043,0.026,0.049,0.094,-6.025,-0.021,0.012,0.000,-6.044,0.008,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.494,2.524,2.314,2.360,2.381,2.385,2.269,2.297,RawDownGT,2.008,2.021,1.902,1.836,2.216,2.292,2.362,2.069,2.395,2.395,2.409,2.097,2.366,2.033,2.398,2.378,2.324,2.035,
20181104-153544,20181104-153629,NG,下表面轮廓度 -6.202 超差|,44.48,,VaporChamber,RightStation-A117VC,SPC,-10.692,0.221,0.004,-6.202,0.039,5.351,SPC MIN,-10.692,-10.649,-0.002,-6.202,-0.014,5.086,SPC MAX,-10.431,-10.428,0.002,-6.043,0.039,5.351,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.692,0.221,0.004,-6.202,0.039,5.351,SPCMIN,-10.692,-10.649,-0.002,-6.202,-0.014,5.086,SPCMAX,-10.431,-10.428,0.002,-6.043,0.039,5.351,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.507,-10.500,-10.454,-10.525,-10.420,-10.403,-10.382,-10.425,RawDown,5.299,5.274,5.311,5.297,-6.046,-5.998,-5.969,0.094,0.039,0.021,0.045,0.091,-6.027,-0.027,0.007,-0.007,-6.054,-0.004,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.504,2.518,2.312,2.363,2.388,2.381,2.266,2.299,RawDownGT,1.993,2.014,1.910,1.849,2.220,2.293,2.360,2.070,2.391,2.390,2.405,2.094,2.364,2.028,2.392,2.371,2.313,2.024,
20181104-153631,20181104-153715,NG,下表面轮廓度 -6.200 超差|,44.15,,VaporChamber,RightStation-A117VC,SPC,-10.687,0.226,0.001,-6.200,0.029,5.355,SPC MIN,-10.687,-10.651,0.000,-6.200,-0.018,5.085,SPC MAX,-10.428,-10.425,0.001,-6.041,0.029,5.355,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.687,0.226,0.001,-6.200,0.029,5.355,SPCMIN,-10.687,-10.651,0.000,-6.200,-0.018,5.085,SPCMAX,-10.428,-10.425,0.001,-6.041,0.029,5.355,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.503,-10.502,-10.454,-10.524,-10.416,-10.404,-10.383,-10.424,RawDown,5.304,5.273,5.311,5.294,-6.049,-5.997,-5.969,0.081,0.038,0.024,0.049,0.089,-6.027,-0.025,0.008,-0.003,-6.052,-0.003,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.500,2.520,2.312,2.362,2.384,2.382,2.267,2.298,RawDownGT,1.998,2.013,1.909,1.846,2.218,2.293,2.360,2.056,2.390,2.393,2.409,2.092,2.364,2.029,2.394,2.374,2.316,2.025,
20181104-153718,20181104-153802,NG,上表面轮廓度 -10.706 超差|下表面轮廓度 -6.211 超差|,44.69,,VaporChamber,RightStation-A117VC,SPC,-10.706,0.217,0.001,-6.211,0.031,5.356,SPC MIN,-10.706,-10.650,-0.001,-6.211,-0.012,5.094,SPC MAX,-10.430,-10.433,0.001,-6.042,0.031,5.356,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.706,0.217,0.001,-6.211,0.031,5.356,SPCMIN,-10.706,-10.650,-0.001,-6.211,-0.012,5.094,SPCMAX,-10.430,-10.433,0.001,-6.042,0.031,5.356,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.458,-10.504,-10.468,-10.518,-10.386,-10.397,-10.389,-10.416,RawDown,5.352,5.279,5.299,5.296,-6.041,-6.007,-5.956,0.108,0.062,0.043,0.061,0.107,-6.017,-0.006,0.026,0.025,-6.014,0.036,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.455,2.521,2.326,2.356,2.354,2.375,2.273,2.290,RawDownGT,2.046,2.019,1.897,1.849,2.226,2.284,2.373,2.083,2.414,2.412,2.421,2.110,2.374,2.048,2.412,2.403,2.354,2.063,
20181104-153807,20181104-153851,NG,下表面轮廓度 -6.202 超差|,44.35,,VaporChamber,RightStation-A117VC,SPC,-10.689,0.220,0.003,-6.202,0.030,5.355,SPC MIN,-10.689,-10.647,-0.001,-6.202,-0.016,5.090,SPC MAX,-10.426,-10.426,0.002,-6.040,0.030,5.355,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.689,0.220,0.003,-6.202,0.030,5.355,SPCMIN,-10.689,-10.647,-0.001,-6.202,-0.016,5.090,SPCMAX,-10.426,-10.426,0.002,-6.040,0.030,5.355,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.496,-10.503,-10.453,-10.523,-10.409,-10.403,-10.384,-10.420,RawDown,5.311,5.260,5.309,5.295,-6.049,-5.999,-5.969,0.086,0.042,0.024,0.049,0.102,-6.025,-0.023,0.012,0.000,-6.046,0.004,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.493,2.520,2.312,2.361,2.377,2.381,2.268,2.294,RawDownGT,2.005,2.000,1.908,1.847,2.217,2.292,2.360,2.062,2.394,2.393,2.409,2.105,2.366,2.032,2.397,2.377,2.322,2.031,
20181104-153854,20181104-153938,NG,下表面轮廓度 -6.199 超差|,44.49,,VaporChamber,RightStation-A117VC,SPC,-10.686,0.223,0.004,-6.199,0.029,5.353,SPC MIN,-10.686,-10.650,-0.002,-6.199,-0.016,5.084,SPC MAX,-10.426,-10.426,0.002,-6.040,0.029,5.353,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.686,0.223,0.004,-6.199,0.029,5.353,SPCMIN,-10.686,-10.650,-0.002,-6.199,-0.016,5.084,SPCMAX,-10.426,-10.426,0.002,-6.040,0.029,5.353,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.507,-10.507,-10.454,-10.525,-10.416,-10.407,-10.385,-10.424,RawDown,5.299,5.256,5.307,5.286,-6.052,-5.998,-5.968,0.078,0.038,0.020,0.047,0.096,-6.026,-0.023,0.010,-0.006,-6.054,-0.005,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.504,2.524,2.312,2.363,2.384,2.385,2.269,2.297,RawDownGT,1.993,1.996,1.906,1.839,2.214,2.292,2.361,2.053,2.390,2.389,2.407,2.099,2.365,2.031,2.395,2.372,2.314,2.022,
20181104-153940,20181104-154025,NG,下表面轮廓度 -6.195 超差|,44.37,,VaporChamber,RightStation-A117VC,SPC,-10.678,0.228,0.002,-6.195,0.029,5.355,SPC MIN,-10.678,-10.649,-0.001,-6.195,-0.021,5.080,SPC MAX,-10.423,-10.421,0.001,-6.037,0.029,5.355,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.678,0.228,0.002,-6.195,0.029,5.355,SPCMIN,-10.678,-10.649,-0.001,-6.195,-0.021,5.080,SPCMAX,-10.423,-10.421,0.001,-6.037,0.029,5.355,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.506,-10.500,-10.453,-10.525,-10.415,-10.404,-10.384,-10.424,RawDown,5.299,5.258,5.305,5.289,-6.050,-5.997,-5.969,0.076,0.035,0.020,0.047,0.088,-6.029,-0.029,0.008,-0.007,-6.053,-0.007,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.503,2.517,2.311,2.363,2.383,2.382,2.268,2.297,RawDownGT,1.993,1.998,1.903,1.841,2.216,2.293,2.360,2.051,2.387,2.389,2.407,2.091,2.362,2.025,2.393,2.371,2.315,2.020,
20181104-154029,20181104-154113,NG,下表面轮廓度 -6.206 超差|,44.30,,VaporChamber,RightStation-A117VC,SPC,-10.694,0.230,0.003,-6.206,0.032,5.353,SPC MIN,-10.694,-10.654,-0.001,-6.206,-0.016,5.080,SPC MAX,-10.426,-10.425,0.001,-6.040,0.032,5.353,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.694,0.230,0.003,-6.206,0.032,5.353,SPCMIN,-10.694,-10.654,-0.001,-6.206,-0.016,5.080,SPCMAX,-10.426,-10.425,0.001,-6.040,0.032,5.353,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.505,-10.502,-10.454,-10.526,-10.414,-10.405,-10.384,-10.422,RawDown,5.301,5.258,5.309,5.289,-6.049,-5.996,-5.971,0.077,0.039,0.022,0.047,0.087,-6.028,-0.027,0.007,-0.006,-6.052,-0.002,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.502,2.519,2.312,2.364,2.382,2.383,2.268,2.295,RawDownGT,1.995,1.998,1.907,1.842,2.217,2.294,2.358,2.053,2.391,2.391,2.407,2.090,2.363,2.027,2.393,2.372,2.316,2.025,
20181104-154117,20181104-154201,NG,下表面轮廓度 -6.203 超差|,44.26,,VaporChamber,RightStation-A117VC,SPC,-10.689,0.219,0.003,-6.203,0.029,5.347,SPC MIN,-10.689,-10.647,-0.002,-6.203,-0.018,5.081,SPC MAX,-10.426,-10.428,0.002,-6.043,0.029,5.347,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.689,0.219,0.003,-6.203,0.029,5.347,SPCMIN,-10.689,-10.647,-0.002,-6.203,-0.018,5.081,SPCMAX,-10.426,-10.428,0.002,-6.043,0.029,5.347,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.514,-10.500,-10.453,-10.528,-10.418,-10.406,-10.384,-10.422,RawDown,5.291,5.255,5.305,5.289,-6.049,-5.998,-5.971,0.073,0.036,0.018,0.042,0.085,-6.028,-0.034,0.003,-0.010,-6.058,-0.009,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.511,2.517,2.311,2.366,2.386,2.384,2.268,2.295,RawDownGT,1.985,1.995,1.904,1.842,2.217,2.292,2.358,2.048,2.388,2.387,2.402,2.088,2.363,2.021,2.389,2.368,2.310,2.019,
